fid,season,playerid,g,ratt,rnet,rtd,rec,recyds,rectd
1,2018,JOHNDAV007,16,258,940,7,50,446,3
1,2018,EDMOCHA001,16,60,208,2,20,103,0
1,2018,ROSEJOS001,14,23,138,0,,,
1,2018,NELSJJA001,14,4,0,0,7,64,0
1,2018,KIRKCHR002,12,3,35,0,43,590,3
1,2018,BRADSAM001,3,2,7,0,,,
1,2018,COLEDER001,16,2,3,0,2,17,0
1,2018,LOGATJA001,10,2,2,0,7,37,0
1,2018,WILLCHA005,10,1,9,0,17,171,1
1,2018,FITZLAR001,16,0,0,0,69,734,6
1,2018,SEALRIC001,15,0,0,0,34,343,1
1,2018,SHERTRE001,13,0,0,0,19,210,1
1,2018,GRESJER001,13,0,0,0,9,94,0
1,2018,PHILJOH001,8,0,0,0,3,38,0
1,2018,TOLLJAL001,3,0,0,0,3,37,0
1,2017,PETEADR002,6,129,448,2,9,66,0
1,2017,WILLKER001,16,120,426,1,10,93,0
1,2017,JOHNCHR004,4,45,114,0,5,43,0
1,2017,PENNELI001,16,31,124,2,4,38,0
1,2017,GABBBLA001,5,23,82,0,,,
1,2017,ELLIAND001,8,15,53,1,33,297,0
1,2017,PALMCAR001,7,14,12,0,,,
1,2017,JOHNDAV007,1,11,23,0,6,67,0
1,2017,STANDRE001,5,9,7,0,,,
1,2017,FOSTDJA001,7,6,19,0,17,133,0
1,2017,NELSJJA001,16,3,37,0,29,508,2
1,2017,WILLCHA005,6,2,33,0,3,31,0
1,2017,BROWJOH004,10,1,10,0,21,299,3
1,2017,HILLBRO001,2,1,-2,0,,,
1,2017,FITZLAR001,16,0,0,0,109,1156,6
1,2017,GRESJER001,14,0,0,0,33,322,2
1,2017,BROWJAR001,16,0,0,0,31,477,4
1,2017,SEALRIC001,10,0,0,0,12,201,3
1,2017,NIKLTRO001,15,0,0,0,11,132,1
1,2017,GOLDBRI001,13,0,0,0,5,70,0
1,2017,MOMAIFE001,9,0,0,0,1,46,0
1,2016,JOHNDAV007,16,293,1239,16,80,879,4
1,2016,ELLIAND001,16,34,96,0,12,85,0
1,2016,JOHNCHR004,4,25,95,1,0,0,0
1,2016,WILLKER001,10,18,157,2,1,6,0
1,2016,PALMCAR001,15,14,38,0,,,
1,2016,NELSJJA001,15,4,83,1,34,568,6
1,2016,TAYLSTE001,15,4,12,0,,,
1,2016,STANDRE001,5,3,-3,0,,,
1,2016,FITZLAR001,16,2,5,0,107,1023,6
1,2016,BROWJOH004,15,1,10,0,39,517,2
1,2016,BUTLDRE001,7,1,0,0,,,
1,2016,GRESJER001,16,0,0,0,37,391,2
1,2016,FLOYMIC001,13,0,0,0,33,446,4
1,2016,FELLDAR001,14,0,0,0,14,154,1
1,2016,BROWJAR001,7,0,0,0,11,187,1
1,2016,GOLDBRI001,12,0,0,0,8,82,1
1,2016,ROSSJER001,2,0,0,0,4,37,1
1,2016,MOMAIFE001,5,0,0,0,2,50,0
1,2016,NIKLTRO001,3,0,0,0,1,0,0
1,2015,JOHNCHR004,11,196,814,3,6,58,0
1,2015,JOHNDAV007,16,125,581,8,36,457,4
1,2015,ELLIAND001,10,45,289,3,15,148,0
1,2015,WILLKER001,6,27,142,1,2,16,0
1,2015,PALMCAR001,16,25,24,1,,,
1,2015,TAYLSTE001,16,17,58,0,1,4,0
1,2015,STANDRE001,7,13,-13,0,,,
1,2015,BROWJOH004,15,3,22,0,65,1003,7
1,2015,NELSJJA001,11,1,0,0,11,299,2
1,2015,FITZLAR001,16,0,0,0,109,1215,9
1,2015,FLOYMIC001,15,0,0,0,52,849,6
1,2015,FELLDAR001,14,0,0,0,21,311,3
1,2015,GRESJER001,15,0,0,0,18,223,1
1,2015,BROWJAR001,16,0,0,0,11,144,1
1,2015,NIKLTRO001,16,0,0,0,4,33,2
1,2015,IUPAMIK001,13,0,0,0,1,10,0
1,2015,GOLDBRI001,16,0,0,0,1,5,0
1,2014,ELLIAND001,12,201,660,3,46,395,2
1,2014,TAYLSTE001,14,63,208,1,11,79,3
1,2014,WILLKER001,5,53,246,0,2,11,0
1,2014,STANDRE001,9,25,63,0,,,
1,2014,DWYEJON001,2,16,51,1,2,8,0
1,2014,GRICMAR001,10,15,41,1,7,29,0
1,2014,PALMCAR001,6,8,25,0,0,0,0
1,2014,HUGHROB001,16,7,11,0,8,140,0
1,2014,GINNTED001,16,3,6,0,14,190,0
1,2014,BROWJOH004,16,3,-6,0,48,696,5
1,2014,FLOYMIC001,16,1,2,0,47,841,6
1,2014,HOUSROB001,15,1,1,0,9,129,0
1,2014,PARMJAL001,1,1,0,0,,,
1,2014,FITZLAR001,14,0,0,0,63,784,2
1,2014,CARLJOH001,16,0,0,0,33,350,1
1,2014,BROWJAR001,16,0,0,0,22,229,2
1,2014,FELLDAR001,10,0,0,0,5,71,0
1,2014,NIKLTRO001,7,0,0,0,3,38,0
1,2013,MENDRAS001,15,217,687,8,18,134,0
1,2013,ELLIAND001,15,118,652,3,39,371,1
1,2013,TAYLSTE001,16,36,115,0,8,71,0
1,2013,PALMCAR001,16,27,3,0,,,
1,2013,SMITALF001,16,18,54,1,10,68,0
1,2013,PETEPAT001,16,4,21,0,6,54,0
1,2013,FITZLAR001,16,2,8,0,82,954,10
1,2013,FLOYMIC001,16,0,0,0,65,1041,5
1,2013,ROBEAND001,16,0,0,0,43,471,2
1,2013,HOUSROB001,13,0,0,0,39,454,1
1,2013,DRAYJIM001,16,0,0,0,26,215,2
1,2013,BROWJAR001,16,0,0,0,11,140,1
1,2013,BALLJAK001,8,0,0,0,7,75,2
1,2013,GOLDBRI001,5,0,0,0,4,136,0
1,2013,TAYLKER001,3,0,0,0,3,40,0
1,2013,WILLTED002,3,0,0,0,1,51,0
1,2013,SPERKOR001,8,0,0,0,1,16,0
1,2012,STEPLAR002,14,111,357,4,17,106,0
1,2012,WELLBEA001,8,88,234,5,1,24,0
1,2012,POWEWIL001,13,59,216,0,19,132,0
1,2012,WILLRYA001,5,58,164,0,7,44,0
1,2012,KOLBKEV001,6,16,100,1,,,
1,2012,ROBEAND001,15,4,29,0,64,759,5
1,2012,LINDRYA001,6,4,7,0,,,
1,2012,SKELJOH001,7,4,5,0,,,
1,2012,JOHNRAS001,15,2,64,0,,,
1,2012,PETEPAT001,16,2,13,0,3,11,0
1,2012,DOUCEAR001,12,2,9,0,28,207,0
1,2012,HOYEBRI001,2,1,6,0,,,
1,2012,FEELJAY001,16,1,0,0,,,
1,2012,FITZLAR001,16,0,0,0,71,798,4
1,2012,FLOYMIC001,16,0,0,0,45,562,2
1,2012,HOUSROB001,15,0,0,0,45,417,0
1,2012,KINGJEF001,16,0,0,0,17,129,0
1,2012,HEAPTOD001,2,0,0,0,8,94,0
1,2012,SHERANT001,13,0,0,0,5,39,0
1,2012,SMITALF001,11,0,0,0,2,21,0
1,2012,DRAYJIM001,13,0,0,0,2,15,0
1,2012,KELESEN001,1,0,0,0,1,10,0
1,2012,BYRDLAR001,4,0,0,0,1,8,0
1,2012,MAUIREA001,3,0,0,0,1,7,0
1,2011,WELLBEA001,14,245,1047,10,10,52,0
1,2011,STEPLAR002,14,43,167,0,13,234,2
1,2011,SMITALF001,15,30,102,1,3,21,0
1,2011,SKELJOH001,8,28,128,0,,,
1,2011,TAYLCHE001,12,20,77,1,14,91,0
1,2011,KOLBKEV001,9,17,65,0,,,
1,2011,ROBEAND001,16,3,27,0,51,586,2
1,2011,BARTRIC002,2,1,9,0,,,
1,2011,SHERANT001,15,1,3,0,8,72,0
1,2011,PETEPAT001,16,1,0,0,1,-1,0
1,2011,FITZLAR001,16,0,0,0,80,1411,8
1,2011,DOUCEAR001,16,0,0,0,54,689,5
1,2011,KINGJEF001,16,0,0,0,27,271,3
1,2011,HEAPTOD001,10,0,0,0,24,283,1
1,2011,HOUSROB001,12,0,0,0,12,133,0
1,2011,STUCCHA001,9,0,0,0,4,39,0
1,2011,SAMPDEM001,12,0,0,0,3,36,0
1,2011,DRAYJIM001,10,0,0,0,2,25,0
1,2011,MAUIREA001,3,0,0,0,1,12,0
1,2010,HIGHTIM001,16,153,736,5,21,136,0
1,2010,WELLBEA001,13,116,397,2,5,74,0
1,2010,STEPLAR002,13,23,113,1,16,111,0
1,2010,SKELJOH001,5,10,49,0,,,
1,2010,WRIGJAS001,15,6,28,0,8,42,0
1,2010,ANDEDER001,12,5,25,0,,,
1,2010,BREASTE001,13,3,35,0,47,718,1
1,2010,DOUCEAR001,10,2,5,0,26,291,1
1,2010,FEELJAY001,16,1,5,1,,,
1,2010,HALLMAX001,6,1,-5,0,,,
1,2010,FITZLAR001,16,0,0,0,90,1137,6
1,2010,ROBEAND001,15,0,0,0,24,307,2
1,2010,PATRBEN001,15,0,0,0,15,123,0
1,2010,KOMAMAX001,8,0,0,0,12,117,0
1,2010,WILLSTE003,11,0,0,0,9,101,0
1,2010,SPACSTE001,15,0,0,0,7,40,0
1,2010,DRAYJIM001,16,0,0,0,3,47,0
1,2010,MAUIREA001,15,0,0,0,2,20,0
1,2009,WELLBEA001,16,176,793,7,12,143,0
1,2009,HIGHTIM001,16,143,598,8,63,428,0
1,2009,WARNKUR001,15,21,10,0,,,
1,2009,LEINMAT001,8,9,-6,0,,,
1,2009,STEPLAR002,16,6,15,0,10,83,1
1,2009,WRIGJAS001,16,3,17,0,9,53,2
1,2009,BOLDANQ001,15,3,12,1,84,1024,4
1,2009,BREASTE001,15,2,44,0,55,712,3
1,2009,ROLLANT001,15,1,9,0,,,
1,2009,STPIBRI001,1,1,2,0,,,
1,2009,FITZLAR001,16,0,0,0,97,1092,13
1,2009,URBAJER001,10,0,0,0,18,186,0
1,2009,DOUCEAR001,9,0,0,0,17,214,1
1,2009,PATRBEN001,9,0,0,0,12,146,2
1,2009,BECHANT001,16,0,0,0,7,61,1
1,2009,SPACSTE001,7,0,0,0,4,38,0
1,2009,KREIDAN001,14,0,0,0,4,20,0
1,2008,HIGHTIM001,16,143,399,10,34,237,0
1,2008,JAMEEDG001,13,133,514,3,12,85,0
1,2008,ARRIJJA001,11,31,187,1,29,255,1
1,2008,WARNKUR001,16,18,-2,0,,,
1,2008,BOLDANQ001,12,9,67,0,89,1038,11
1,2008,LEINMAT001,4,4,5,0,,,
1,2008,BREASTE001,16,2,8,0,77,1006,3
1,2008,FITZLAR001,16,0,0,0,96,1431,12
1,2008,URBAJER001,16,0,0,0,34,448,4
1,2008,DOUCEAR001,7,0,0,0,14,90,0
1,2008,PATRBEN001,10,0,0,0,11,104,0
1,2008,POPELEO001,13,0,0,0,9,77,0
1,2008,CASTTIM001,14,0,0,0,4,11,0
1,2008,TUMAJER001,3,0,0,0,3,41,0
1,2008,SMITTER001,15,0,0,0,2,24,0
1,2008,SPACSTE001,9,0,0,0,2,15,0
1,2008,ROLLANT001,16,0,0,0,1,9,0
1,2008,BROWLEV001,16,0,0,0,1,4,0
1,2007,JAMEEDG001,16,324,1222,7,24,204,0
1,2007,ARRIJJA001,16,26,78,0,29,241,1
1,2007,WARNKUR001,14,17,15,1,,,
1,2007,SHIPMAR001,16,15,41,1,4,25,0
1,2007,LEINMAT001,5,11,42,0,,,
1,2007,BREASTE001,16,2,8,0,8,92,0
1,2007,RATTTIM001,4,2,5,0,,,
1,2007,BOLDANQ001,12,1,14,0,71,853,9
1,2007,MORESEA001,15,1,13,0,8,131,0
1,2007,SMITTER001,16,1,3,0,7,59,0
1,2007,BERGMIT001,5,1,0,0,,,
1,2007,HASSTIM001,1,1,-1,0,,,
1,2007,FITZLAR001,15,0,0,0,100,1409,10
1,2007,JOHNBRY003,16,0,0,0,46,528,2
1,2007,POPELEO001,13,0,0,0,23,238,5
1,2007,URBAJER001,10,0,0,0,22,329,2
1,2007,PATRBEN001,8,0,0,0,7,73,2
1,2007,BIENTRO001,16,0,0,0,7,46,1
1,2006,JAMEEDG001,16,337,1159,6,38,217,0
1,2006,LEINMAT001,12,22,49,2,,,
1,2006,SHIPMAR001,15,17,41,4,6,60,0
1,2006,ARRIJJA001,16,14,19,0,8,58,0
1,2006,WARNKUR001,6,13,3,0,,,
1,2006,AYANOBA001,14,9,37,0,17,139,0
1,2006,BOLDANQ001,16,5,28,0,83,1203,4
1,2006,SCHAAJA001,11,1,5,0,,,
1,2006,JOHNBRY003,16,1,-3,0,40,740,4
1,2006,FITZLAR001,13,0,0,0,69,946,6
1,2006,WALTTRO001,15,0,0,0,23,209,2
1,2006,POPELEO001,16,0,0,0,16,161,0
1,2006,BERGADA001,14,0,0,0,15,111,1
1,2006,SPURMIC001,1,0,0,0,4,31,0
1,2006,WAKEFRE001,16,0,0,0,2,24,0
1,2006,BRONJOH001,2,0,0,0,1,25,0
1,2005,SHIPMAR001,15,157,451,0,35,255,0
1,2005,ARRIJJA001,15,112,370,2,25,139,0
1,2005,MCCOJOS001,9,29,139,0,,,
1,2005,AYANOBA001,16,22,46,0,34,231,0
1,2005,WARNKUR001,10,13,28,0,1,0,0
1,2005,BOLDANQ001,14,12,45,0,102,1402,7
1,2005,FITZLAR001,16,8,41,0,103,1409,10
1,2005,JACKJAM002,8,4,11,0,2,31,0
1,2005,ANDEDAM001,5,2,7,0,,,
1,2005,JOHNBRY003,14,1,0,0,40,432,1
1,2005,BERGADA001,16,0,0,0,28,270,1
1,2005,MCCOLER001,10,0,0,0,18,191,1
1,2005,EDWAERI001,16,0,0,0,12,133,1
1,2005,LEEACHA001,6,0,0,0,11,152,0
1,2005,NEWHREG001,3,0,0,0,4,45,0
1,2005,JOHNTEY001,6,0,0,0,3,29,0
1,2005,BAXTJAR001,8,0,0,0,1,4,0
1,2004,SMITEMM001,15,267,937,9,15,105,0
1,2004,HAMBTRO001,10,63,283,1,4,16,1
1,2004,MCCOJOS001,14,36,112,2,1,-5,0
1,2004,AYANOBA001,16,30,122,3,19,171,1
1,2004,CROOLAR001,6,29,76,0,2,16,0
1,2004,SCOBJOS002,12,27,89,0,18,191,0
1,2004,KINGSHA001,3,9,30,0,,,
1,2004,FITZLAR001,16,8,14,0,58,780,8
1,2004,WILLKAR001,15,2,6,0,18,197,0
1,2004,JOHNBRY003,16,2,-6,0,49,537,1
1,2004,BOLDANQ001,10,1,3,0,56,623,1
1,2004,ANDEDAM001,4,1,2,0,,,
1,2004,JONEFRE004,16,0,0,0,45,426,2
1,2004,POOLNAT001,9,0,0,0,5,70,0
1,2004,EDWAERI001,16,0,0,0,5,51,0
1,2004,DIAMLOR001,5,0,0,0,3,19,0
1,2004,NEWHREG001,3,0,0,0,1,5,0
1,2003,SHIPMAR001,16,228,830,0,30,184,0
1,2003,SMITEMM001,10,90,256,2,14,107,0
1,2003,BLAKJEF001,13,30,177,2,,,
1,2003,MCCOJOS001,8,28,158,1,,,
1,2003,ANDEDAM001,16,18,68,0,6,36,0
1,2003,BOLDANQ001,16,5,40,0,101,1377,8
1,2003,HODGJAM001,16,2,6,0,14,58,2
1,2003,GILMBRY001,14,1,0,0,17,208,2
1,2003,KASPKEV001,7,1,-4,0,1,23,0
1,2003,JONEFRE004,16,0,0,0,55,517,3
1,2003,JOHNBRY003,15,0,0,0,35,438,1
1,2003,POOLNAT001,15,0,0,0,13,177,1
1,2003,BUSHSTE001,16,0,0,0,11,71,1
1,2003,MCADJAS001,2,0,0,0,4,53,0
1,2003,SCOBJOS002,15,0,0,0,1,9,0
1,2003,FOSTLAR001,1,0,0,0,1,7,0
1,2002,SHIPMAR001,15,188,834,6,38,413,3
1,2002,JONETHO001,9,138,511,2,20,113,0
1,2002,PLUMJAK001,16,46,283,2,1,2,0
1,2002,ANDEDAM001,10,24,65,0,3,36,0
1,2002,MAKOJOE001,12,5,54,0,15,81,3
1,2002,KASPKEV001,6,3,19,0,15,180,3
1,2002,JENKMAR001,8,3,6,0,21,250,1
1,2002,SANDFRA001,12,3,2,0,34,400,2
1,2002,BOSTDAV001,8,2,29,0,32,512,1
1,2002,MCCOJOS001,2,1,20,0,,,
1,2002,PLAYSCO001,16,1,0,0,,,
1,2002,JONEFRE004,16,0,0,0,44,358,1
1,2002,MCADJAS001,9,0,0,0,25,362,1
1,2002,BUSHSTE001,16,0,0,0,19,121,1
1,2002,POOLNAT001,5,0,0,0,13,108,1
1,2002,JACKARN001,16,0,0,0,5,42,1
1,2002,SOLIJAK001,4,0,0,0,4,39,0
1,2002,GILMBRY001,7,0,0,0,1,14,0
1,2002,STARJAS001,16,0,0,0,1,7,0
1,2001,PITTMIC001,15,241,846,5,42,264,0
1,2001,JONETHO001,16,112,380,5,21,151,0
1,2001,PLUMJAK001,16,35,163,0,,,
1,2001,BOSTDAV001,16,5,35,0,98,1598,8
1,2001,JENKMAR001,13,3,4,0,32,518,3
1,2001,MAKOJOE001,16,1,19,0,16,95,1
1,2001,MCKIDEN001,14,1,1,0,1,10,0
1,2001,GRUTMIK001,15,1,1,0,,,
1,2001,PLAYSCO001,12,1,0,0,,,
1,2001,SANDFRA001,15,0,0,0,41,618,2
1,2001,MITCTYW001,16,0,0,0,25,196,2
1,2001,HARDTER001,8,0,0,0,11,79,2
1,2001,JACKARN001,16,0,0,0,9,44,0
1,2001,BUSHSTE001,9,0,0,0,8,80,0
1,2000,PITTMIC001,16,184,719,4,73,579,2
1,2000,JONETHO001,14,112,373,2,32,208,0
1,2000,PLUMJAK001,14,37,183,0,,,
1,2000,BOSTDAV001,16,3,9,0,71,1156,7
1,2000,MAKOJOE001,14,3,8,0,6,18,0
1,2000,GREICHR001,3,1,1,0,,,
1,2000,BROWDAV004,6,1,0,0,,,
1,2000,JENKMAR001,16,1,-4,0,17,219,0
1,2000,PLAYSCO001,16,1,-11,0,,,
1,2000,SANDFRA001,16,0,0,0,54,749,6
1,2000,HARDTER001,16,0,0,0,27,160,1
1,2000,CODYMAC001,15,0,0,0,17,212,0
1,2000,GEDNCHR001,13,0,0,0,10,75,0
1,2000,MITCTYW001,10,0,0,0,5,80,0
1,2000,MCKIDEN001,16,0,0,0,2,13,0
1,2000,WILLCLA004,2,0,0,0,1,5,0
1,2000,TANTJAY001,5,0,0,0,1,4,0
1,1999,MURRADR001,16,193,553,0,49,335,0
1,1999,BATEMAR002,16,72,202,9,5,34,0
1,1999,PITTMIC001,10,64,289,2,16,196,0
1,1999,PLUMJAK001,12,39,121,2,,,
1,1999,BROWDAV004,8,13,49,0,0,0,0
1,1999,MAKOJOE001,16,8,7,0,10,70,1
1,1999,BOSTDAV001,16,5,0,0,40,473,2
1,1999,TILLPAT002,16,1,4,0,,,
1,1999,PLAYSCO001,16,1,-18,0,,,
1,1999,SANDFRA001,16,0,0,0,79,954,1
1,1999,MOORROB001,14,0,0,0,37,621,5
1,1999,HARDTER001,16,0,0,0,30,222,0
1,1999,MCWIJOH001,15,0,0,0,11,71,1
1,1999,CODYMAC001,13,0,0,0,6,60,1
1,1999,MCCUAND001,2,0,0,0,3,45,0
1,1999,MCKIDEN001,16,0,0,0,1,4,0
1,1998,MURRADR001,15,274,1042,8,18,169,2
1,1998,BATEMAR002,16,60,165,6,1,14,0
1,1998,PLUMJAK001,16,51,217,4,,,
1,1998,CENTLAR001,16,31,110,0,69,559,2
1,1998,PITTMIC001,15,29,91,0,,,
1,1998,SANDFRA001,16,4,0,0,89,1145,3
1,1998,BROWDAV004,1,1,2,0,,,
1,1998,MOORROB001,16,0,0,0,67,982,5
1,1998,METCERI001,16,0,0,0,31,324,0
1,1998,MCWIJOH001,16,0,0,0,26,284,4
1,1998,GEDNCHR001,16,0,0,0,22,271,1
1,1998,BROCFRE001,12,0,0,0,2,12,0
1,1998,ANDERON001,4,0,0,0,1,8,0
1,1997,MCELLEE001,14,135,424,2,7,32,0
1,1997,CENTLAR001,15,101,276,1,54,409,1
1,1997,MOORRON002,6,57,175,0,,,
1,1997,PLUMJAK001,10,39,216,2,1,2,0
1,1997,JOHNLES001,14,23,81,0,3,4,0
1,1997,GRAHKEN002,8,13,23,2,,,
1,1997,BOUIKEV001,5,11,26,0,,,
1,1997,CASESTO001,3,7,8,1,,,
1,1997,SMITCED001,16,4,5,1,2,20,0
1,1997,GEDNCHR001,16,1,15,0,23,261,4
1,1997,SANDFRA001,16,1,5,0,75,1017,4
1,1997,MCKIRON001,16,1,3,0,,,
1,1997,SWANERI001,13,1,0,0,,,
1,1997,WILLKEV005,16,1,-2,0,20,273,1
1,1997,MOORROB001,16,0,0,0,97,1584,8
1,1997,EDWAANT001,16,0,0,0,20,203,0
1,1997,MCWIJOH001,16,0,0,0,7,75,0
1,1997,CARTPAT001,16,0,0,0,7,44,1
1,1997,BROCFRE001,2,0,0,0,1,29,0
1,1996,JOHNLES001,15,141,634,3,15,176,1
1,1996,CENTLAR001,16,116,425,2,99,766,7
1,1996,MCELLEE001,16,89,305,1,5,41,1
1,1996,GRAHKEN002,10,21,87,0,,,
1,1996,ESIABOO001,10,15,52,1,,,
1,1996,SMITCED001,15,14,15,1,3,3,1
1,1996,SANDFRA001,16,2,-4,0,69,813,4
1,1996,FEAGJEF001,16,1,0,0,,,
1,1996,MCKIRON001,16,1,-4,0,,,
1,1996,EDWAANT001,16,1,-8,0,29,311,1
1,1996,MOORROB001,16,0,0,0,58,1016,4
1,1996,CARTPAT001,16,0,0,0,26,329,1
1,1996,DOWDMAR001,15,0,0,0,20,318,2
1,1996,MCWIJOH001,12,0,0,0,7,80,1
1,1996,ANDESTE001,8,0,0,0,4,64,0
1,1996,TERRRYA001,5,0,0,0,1,0,0
1,1995,HEARGAR001,16,284,1070,1,29,243,1
1,1995,CENTLAR001,16,78,254,2,101,962,2
1,1995,KRIEDAV001,16,19,29,0,,,
1,1995,FEAGJEF001,16,2,4,0,,,
1,1995,CASESTO001,2,1,4,0,,,
1,1995,SANDFRA001,16,1,1,0,52,883,2
1,1995,LASSKWA001,5,1,1,0,,,
1,1995,BUCKMIK001,4,1,0,0,,,
1,1995,MOORROB001,15,0,0,0,63,907,5
1,1995,EDWAANT001,15,0,0,0,29,417,2
1,1995,GAINWEN001,16,0,0,0,14,117,2
1,1995,MCBROSC001,16,0,0,0,13,112,2
1,1995,DOWDMAR001,13,0,0,0,10,96,0
1,1995,REEVBRY001,5,0,0,0,6,62,0
1,1995,FANNCHA001,16,0,0,0,5,41,0
1,1995,ANDESTE001,5,0,0,0,3,34,1
1,1995,SAMUTER001,4,0,0,0,2,19,0
1,1994,MOORRON002,16,232,780,4,8,52,1
1,1994,CENTLAR001,16,115,336,5,77,647,2
1,1994,HIGGMAR001,6,43,127,0,,,
1,1994,HEARGAR001,8,37,169,1,6,49,0
1,1994,BEUESTE001,9,22,39,1,,,
1,1994,SCHRJAY001,9,16,59,0,,,
1,1994,MCMAJIM001,2,6,32,0,,,
1,1994,LEVYCHU001,11,3,15,0,4,35,0
1,1994,FEAGJEF001,16,2,8,0,,,
1,1994,MCAFFRE001,7,2,-5,1,1,4,0
1,1994,SAMUTER001,16,1,1,0,8,57,0
1,1994,REEVBRY001,14,1,-1,0,14,202,1
1,1994,PROERIC001,16,0,0,0,51,651,5
1,1994,CLARGAR001,15,0,0,0,50,771,1
1,1994,HILLRAN002,14,0,0,0,38,544,0
1,1994,WAREDER001,15,0,0,0,17,171,1
1,1994,FANNCHA001,16,0,0,0,12,96,0
1,1994,ROBIPAT001,15,0,0,0,1,5,0
1,1993,MOORRON002,16,263,1018,9,3,16,0
1,1993,HEARGAR001,6,76,264,1,6,18,0
1,1993,BAILJOH001,13,49,253,1,32,243,0
1,1993,CENTLAR001,16,25,152,0,66,603,3
1,1993,BEUESTE001,16,22,45,0,,,
1,1993,PROERIC001,16,8,47,0,65,877,7
1,1993,BLOUERI001,6,5,28,1,5,36,0
1,1993,CHANCHR001,4,3,2,0,,,
1,1993,CAMARIC001,16,1,0,0,,,
1,1993,CLARGAR001,14,0,0,0,63,818,4
1,1993,HILLRAN002,16,0,0,0,35,519,4
1,1993,EDWAANT001,16,0,0,0,13,326,1
1,1993,ROLLBUT001,16,0,0,0,10,67,1
1,1993,REEVWAL001,16,0,0,0,9,67,1
1,1993,WAREDER001,16,0,0,0,3,45,0
1,1992,JOHNJOH005,12,178,734,6,14,103,0
1,1992,BROWIVO001,7,68,194,2,7,54,0
1,1992,BAILJOH001,12,52,233,1,33,331,1
1,1992,CENTLAR001,16,37,139,0,50,417,2
1,1992,CHANCHR001,15,36,149,1,,,
1,1992,ROSETIM001,8,9,11,0,,,
1,1992,THOMANT002,1,8,8,1,,,
1,1992,PROERIC001,16,3,23,0,60,744,3
1,1992,JONEERN003,11,2,-3,0,38,559,4
1,1992,HILLRAN002,16,1,4,0,58,861,3
1,1992,BLOUERI001,4,1,-1,0,3,18,0
1,1992,EDWAANT001,16,0,0,0,14,147,1
1,1992,ROLLBUT001,16,0,0,0,13,64,0
1,1992,REEVWAL001,16,0,0,0,6,28,0
1,1992,WAREDER001,15,0,0,0,1,13,0
1,1992,JACKJOH002,6,0,0,0,1,5,1
1,1991,JOHNJOH005,15,196,666,4,29,225,2
1,1991,THOMANT002,16,126,376,1,7,52,0
1,1991,TUPATOM001,11,28,97,1,,,
1,1991,CENTLAR001,9,14,44,0,19,176,0
1,1991,GELBSTA001,6,9,23,0,,,
1,1991,CHANCHR001,3,8,32,0,,,
1,1991,JONEERN003,16,5,24,0,61,957,4
1,1991,PROERIC001,16,3,21,0,55,766,2
1,1991,FLAGTER001,7,1,7,0,8,85,0
1,1991,KUPPCRA001,1,1,5,0,,,
1,1991,HILLRAN002,15,0,0,0,43,495,1
1,1991,JORDTIM002,16,0,0,0,15,127,0
1,1991,JACKJOH002,16,0,0,0,8,108,0
1,1991,REEVWAL001,15,0,0,0,8,45,0
1,1991,WILLWIL002,16,0,0,0,1,3,1
1,1990,JOHNJOH005,14,234,926,5,25,241,0
1,1990,THOMANT002,13,106,390,4,2,11,0
1,1990,ROSETIM001,16,86,470,3,,,
1,1990,FLAGTER001,13,13,85,1,13,130,1
1,1990,JONEERN003,15,4,33,0,43,724,4
1,1990,SIKAVAI001,16,3,8,0,7,51,0
1,1990,WOLFRON001,13,2,3,0,,,
1,1990,PROERIC001,16,1,4,0,56,802,4
1,1990,SMITJTA001,13,1,4,0,18,225,2
1,1990,TUPATOM001,15,1,0,0,,,
1,1990,CAMARIC001,16,1,-11,0,,,
1,1990,GREEROY001,16,0,0,0,53,797,4
1,1990,REEVWAL001,16,0,0,0,18,126,0
1,1990,JORDTIM002,16,0,0,0,2,10,0
1,1990,SHARLUI001,16,0,0,0,1,1,1
1,1989,FERREAR001,15,149,502,6,18,122,0
1,1989,JORDTON001,13,83,211,2,6,20,0
1,1989,MITCSTU001,3,43,165,0,1,10,0
1,1989,SIKAVAI001,16,38,145,0,23,245,0
1,1989,HOGEGAR001,14,27,89,1,,,
1,1989,BAKETON002,10,20,31,0,2,18,0
1,1989,TUPATOM001,14,15,75,0,,,
1,1989,WOLFRON001,16,13,36,1,5,38,0
1,1989,CLARJES001,11,10,42,0,,,
1,1989,ROSETIM001,2,6,26,0,,,
1,1989,SMITJTA001,9,2,21,0,62,778,5
1,1989,JONEERN003,15,1,18,0,45,838,3
1,1989,GREEROY001,12,0,0,0,44,703,7
1,1989,AWALROB001,16,0,0,0,33,360,0
1,1989,NOVAJAY001,16,0,0,0,23,225,1
1,1989,HOLMDON001,15,0,0,0,13,271,1
1,1989,MCCOPHI001,6,0,0,0,2,18,0
1,1989,USHEDAR001,7,0,0,0,1,8,0
1,1989,REEVWAL001,16,0,0,0,1,5,0
1,1988,FERREAR001,16,202,924,7,38,315,2
1,1988,MITCSTU001,14,164,726,4,25,214,1
1,1988,JORDTON001,9,61,160,3,4,24,0
1,1988,LOMANEI001,14,17,55,1,,,
1,1988,STOUCLI001,16,14,57,0,,,
1,1988,WOLFRON001,16,9,43,0,2,11,0
1,1988,GREEROY001,16,4,1,0,68,1097,7
1,1988,HORNGRE001,16,3,20,0,,,
