fid,season,playerid,g,td,conv2p,patm,pata,fgm,fga,saf,points
1,2018,JOHNDAV007,16,10,1,,,,,,62
1,2018,FITZLAR001,16,6,1,,,,,,38
1,2018,DAWSPHI001,10,,,15,15,5,8,,30
1,2018,GONZZAN001,5,,,5,6,7,9,,26
1,2018,KIRKCHR002,12,3,,,,,,,18
1,2018,EDMOCHA001,16,2,,,,,,,12
1,2018,BAKEBUD001,14,1,,,,,,,6
1,2018,BYNEJOS001,11,1,,,,,,,6
1,2018,GARDDEN001,16,1,,,,,,,6
1,2018,SEALRIC001,15,1,,,,,,,6
1,2018,SHERTRE001,13,1,,,,,,,6
1,2018,WILLCHA005,10,1,,,,,,,6
1,2018,MCCRMAT001,1,,,3,3,,,,3
1,2017,DAWSPHI001,16,,,23,26,32,40,,119
1,2017,FITZLAR001,16,6,1,,,,,,38
1,2017,BROWJAR001,16,4,,,,,,,24
1,2017,BROWJOH004,10,3,,,,,,,18
1,2017,SEALRIC001,10,3,,,,,,,18
1,2017,GRESJER001,14,2,,,,,,,12
1,2017,NELSJJA001,16,2,,,,,,,12
1,2017,PENNELI001,16,2,,,,,,,12
1,2017,PETEADR002,6,2,,,,,,,12
1,2017,BETHJUS001,16,1,,,,,,,6
1,2017,ELLIAND001,8,1,,,,,,,6
1,2017,NIKLTRO001,15,1,,,,,,,6
1,2017,NKEMROB001,12,1,,,,,,,6
1,2017,WILLKER001,16,1,,,,,,,6
1,2016,JOHNDAV007,16,20,1,,,,,,122
1,2016,CATACHA001,16,,,43,47,21,28,,106
1,2016,NELSJJA001,15,7,,,,,,,42
1,2016,FITZLAR001,16,6,,,,,,,36
1,2016,FLOYMIC001,13,4,,,,,,,24
1,2016,BROWJOH004,15,2,,,,,,,12
1,2016,GRESJER001,16,2,,,,,,,12
1,2016,WILLKER001,10,2,,,,,,,12
1,2016,CAMPCAL001,16,1,,,,,,1,8
1,2016,BETHJUS001,16,1,,,,,,,6
1,2016,BROWJAR001,7,1,,,,,,,6
1,2016,COOPMAR001,15,1,,,,,,,6
1,2016,FELLDAR001,14,1,,,,,,,6
1,2016,GOLDBRI001,12,1,,,,,,,6
1,2016,JOHNCHR004,4,1,,,,,,,6
1,2016,ROSSJER001,2,1,,,,,,,6
1,2016,PETECOR001,15,,,,,,,1,2
1,2015,CATACHA001,16,,,53,58,28,31,,137
1,2015,JOHNDAV007,16,13,,,,,,,78
1,2015,FITZLAR001,16,9,,,,,,,54
1,2015,BROWJOH004,15,7,,,,,,,42
1,2015,FLOYMIC001,15,6,,,,,,,36
1,2015,ELLIAND001,10,3,,,,,,,18
1,2015,FELLDAR001,14,3,,,,,,,18
1,2015,JOHNCHR004,11,3,,,,,,,18
1,2015,NELSJJA001,11,2,,,,,,,12
1,2015,NIKLTRO001,16,2,,,,,,,12
1,2015,BETHJUS001,16,1,,,,,,,6
1,2015,BROWJAR001,16,1,,,,,,,6
1,2015,BUCADEO001,16,1,,,,,,,6
1,2015,GRESJER001,15,1,,,,,,,6
1,2015,JEFFTON001,16,1,,,,,,,6
1,2015,MATHTYR001,14,1,,,,,,,6
1,2015,PALMCAR001,16,1,,,,,,,6
1,2015,POWEJER002,13,1,,,,,,,6
1,2015,REDDCOR001,12,1,,,,,,,6
1,2015,WILLKER001,6,1,,,,,,,6
1,2015,MINTKEV001,16,,,,,,,1,2
1,2015,RUCKFRO001,13,,,,,,,1,2
1,2014,CATACHA001,16,,,27,27,29,33,,114
1,2014,FLOYMIC001,16,6,,,,,,,36
1,2014,BROWJOH004,16,5,,,,,,,30
1,2014,ELLIAND001,12,5,,,,,,,30
1,2014,TAYLSTE001,14,4,1,,,,,,26
1,2014,BROWJAR001,16,2,,,,,,,12
1,2014,FITZLAR001,14,2,,,,,,,12
1,2014,JOHNRAS001,16,2,,,,,,,12
1,2014,CARLJOH001,16,1,1,,,,,,8
1,2014,CROMANT001,16,1,,,,,,,6
1,2014,DWYEJON001,2,1,,,,,,,6
1,2014,GINNTED001,16,1,,,,,,,6
1,2014,GRICMAR001,10,1,,,,,,,6
1,2014,PETEPAT001,16,1,,,,,,,6
1,2013,FEELJAY001,16,,,37,37,30,36,,127
1,2013,FITZLAR001,16,10,,,,,,,60
1,2013,MENDRAS001,15,8,1,,,,,,50
1,2013,FLOYMIC001,16,5,,,,,,,30
1,2013,ELLIAND001,15,4,,,,,,,24
1,2013,BALLJAK001,8,2,,,,,,,12
1,2013,DANSKAR001,16,2,,,,,,,12
1,2013,DRAYJIM001,16,2,,,,,,,12
1,2013,ROBEAND001,16,2,,,,,,,12
1,2013,BROWJAR001,16,1,,,,,,,6
1,2013,CASOANT001,16,1,,,,,,,6
1,2013,HOUSROB001,13,1,,,,,,,6
1,2013,SHAUMAT001,16,1,,,,,,,6
1,2013,SMITALF001,16,1,,,,,,,6
1,2013,WILLDAN002,14,1,,,,,,,6
1,2013,ABRAJOH001,16,,,,,,,1,2
1,2013,CAMPCAL001,16,,,,,,,1,2
1,2012,FEELJAY001,16,,,25,25,25,28,,100
1,2012,ROBEAND001,15,5,,,,,,,30
1,2012,WELLBEA001,8,5,,,,,,,30
1,2012,FITZLAR001,16,4,,,,,,,24
1,2012,STEPLAR002,14,4,,,,,,,24
1,2012,FLOYMIC001,16,2,,,,,,,12
1,2012,BETHJUS001,16,1,,,,,,,6
1,2012,JOHNRAS001,15,1,,,,,,,6
1,2012,KOLBKEV001,6,1,,,,,,,6
1,2012,SANDJAM001,15,1,,,,,,,6
1,2012,TOLEGRE001,11,1,,,,,,,6
1,2011,FEELJAY001,16,,,33,33,19,24,,90
1,2011,WELLBEA001,14,10,,,,,,,60
1,2011,FITZLAR001,16,8,,,,,,,48
1,2011,DOUCEAR001,16,5,,,,,,,30
1,2011,PETEPAT001,16,4,,,,,,,24
1,2011,KINGJEF001,16,3,,,,,,,18
1,2011,ROBEAND001,16,2,,,,,,,12
1,2011,STEPLAR002,14,2,,,,,,,12
1,2011,HEAPTOD001,10,1,,,,,,,6
1,2011,SMITALF001,15,1,,,,,,,6
1,2011,TAYLCHE001,12,1,,,,,,,6
1,2010,FEELJAY001,16,1,,29,29,24,27,,107
1,2010,FITZLAR001,16,6,1,,,,,,38
1,2010,HIGHTIM001,16,5,,,,,,,30
1,2010,STEPLAR002,13,3,,,,,,,18
1,2010,BREASTE001,13,2,,,,,,,12
1,2010,RHODKER001,16,2,,,,,,,12
1,2010,ROBEAND001,15,2,,,,,,,12
1,2010,RODGDOM001,16,2,,,,,,,12
1,2010,WELLBEA001,13,2,,,,,,,12
1,2010,ADAMMIC002,16,1,,,,,,,6
1,2010,BROWLEV001,16,1,,,,,,,6
1,2010,DOCKDAR001,15,1,,,,,,,6
1,2010,DOUCEAR001,10,1,,,,,,,6
1,2010,HAYEGER001,6,1,,,,,,,6
1,2010,TOLEGRE001,14,1,,,,,,,6
1,2009,RACKNEI001,14,,,37,38,16,17,,85
1,2009,FITZLAR001,16,13,,,,,,,78
1,2009,HIGHTIM001,16,8,,,,,,,48
1,2009,WELLBEA001,16,7,,,,,,,42
1,2009,BOLDANQ001,15,5,,,,,,,30
1,2009,BREASTE001,15,3,,,,,,,18
1,2009,NUGEMIK001,2,,,8,8,2,2,,14
1,2009,PATRBEN001,9,2,,,,,,,12
1,2009,STEPLAR002,16,2,,,,,,,12
1,2009,WRIGJAS001,16,2,,,,,,,12
1,2009,BECHANT001,16,1,,,,,,,6
1,2009,DOUCEAR001,9,1,,,,,,,6
1,2009,RODGDOM001,16,1,,,,,,,6
1,2009,ROLLANT001,15,1,,,,,,,6
1,2008,RACKNEI001,16,,,44,44,25,28,,119
1,2008,FITZLAR001,16,12,,,,,,,72
1,2008,BOLDANQ001,12,11,,,,,,,66
1,2008,HIGHTIM001,16,10,,,,,,,60
1,2008,URBAJER001,16,4,,,,,,,24
1,2008,JAMEEDG001,13,3,1,,,,,,20
1,2008,ARRIJJA001,11,3,,,,,,,18
1,2008,BREASTE001,16,3,,,,,,,18
1,2008,BEISMON001,16,1,,,,,,,6
1,2008,DOCKDAR001,16,1,,,,,,,6
1,2008,HOODROD001,15,1,,,,,,,6
1,2008,RODGDOM001,16,1,,,,,,,6
1,2008,ROLLANT001,16,1,,,,,,,6
1,2007,RACKNEI001,16,,,47,48,21,30,,110
1,2007,FITZLAR001,15,10,,,,,,,60
1,2007,BOLDANQ001,12,9,,,,,,,54
1,2007,JAMEEDG001,16,7,,,,,,,42
1,2007,POPELEO001,13,5,,,,,,,30
1,2007,ROLLANT001,16,3,,,,,,,18
1,2007,HOODROD001,16,2,,,,,,,12
1,2007,JOHNBRY003,16,2,,,,,,,12
1,2007,PATRBEN001,8,2,,,,,,,12
1,2007,URBAJER001,10,2,,,,,,,12
1,2007,ARRIJJA001,16,1,,,,,,,6
1,2007,BIENTRO001,16,1,,,,,,,6
1,2007,BREASTE001,16,1,,,,,,,6
1,2007,HAYEGER001,16,1,,,,,,,6
1,2007,SHIPMAR001,16,1,,,,,,,6
1,2007,WARNKUR001,14,1,,,,,,,6
1,2007,WELLREG001,16,1,,,,,,,6
1,2006,RACKNEI001,16,,,32,32,28,37,,116
1,2006,FITZLAR001,13,6,,,,,,,36
1,2006,JAMEEDG001,16,6,,,,,,,36
1,2006,BOLDANQ001,16,4,,,,,,,24
1,2006,JOHNBRY003,16,4,,,,,,,24
1,2006,SHIPMAR001,15,4,,,,,,,24
1,2006,LEINMAT001,12,2,,,,,,,12
1,2006,WALTTRO001,15,2,,,,,,,12
1,2006,WILSADR001,16,2,,,,,,,12
1,2006,ARRIJJA001,16,1,,,,,,,6
1,2006,BERGADA001,14,1,,,,,,,6
1,2006,SMITANT004,16,1,,,,,,,6
1,2005,RACKNEI001,15,,,20,20,40,42,,140
1,2005,FITZLAR001,16,10,,,,,,,60
1,2005,BOLDANQ001,14,7,1,,,,,,44
1,2005,ARRIJJA001,15,2,,,,,,,12
1,2005,DANSKAR001,15,2,,,,,,,12
1,2005,NOVANIC001,5,,,,,3,3,,9
1,2005,BERGADA001,16,1,,,,,,,6
1,2005,EDWAERI001,16,1,,,,,,,6
1,2005,JOHNBRY003,14,1,,,,,,,6
1,2005,MACKDAV001,16,1,,,,,,,6
1,2005,MCCOLER001,10,1,,,,,,,6
1,2004,RACKNEI001,16,,,28,28,22,29,,94
1,2004,SMITEMM001,15,9,,,,,,,54
1,2004,FITZLAR001,16,8,,,,,,,48
1,2004,AYANOBA001,16,4,,,,,,,24
1,2004,MCCOJOS001,14,2,1,,,,,,14
1,2004,HAMBTRO001,10,2,,,,,,,12
1,2004,JONEFRE004,16,2,,,,,,,12
1,2004,BOLDANQ001,10,1,,,,,,,6
1,2004,JOHNBRY003,16,1,,,,,,,6
1,2004,STARDUA001,15,1,,,,,,,6
1,2004,WILSADR001,16,1,,,,,,,6
1,2003,BOLDANQ001,16,8,,,,,,,48
1,2003,RACKNEI001,7,,,8,8,9,12,,35
1,2003,DUNCTIM001,5,,,5,6,6,10,,23
1,2003,JONEFRE004,16,3,,,,,,,18
1,2003,GRAMBIL001,4,,,6,6,3,4,,15
1,2003,BLAKJEF001,13,2,1,,,,,,14
1,2003,GILMBRY001,14,2,,,,,,,12
1,2003,HODGJAM001,16,2,,,,,,,12
1,2003,SMITEMM001,10,2,,,,,,,12
1,2003,BUSHSTE001,16,1,,,,,,,6
1,2003,HILLREN001,14,1,,,,,,,6
1,2003,JOHNBRY003,15,1,,,,,,,6
1,2003,MCCOJOS001,8,1,,,,,,,6
1,2003,POOLNAT001,15,1,,,,,,,6
1,2003,SCOBJOS002,15,1,,,,,,,6
1,2002,GRAMBIL001,16,,,29,29,15,21,,74
1,2002,SHIPMAR001,15,9,,,,,,,54
1,2002,KASPKEV001,6,3,,,,,,,18
1,2002,MAKOJOE001,12,3,,,,,,,18
1,2002,SANDFRA001,12,2,1,,,,,,14
1,2002,JENKMAR001,8,2,,,,,,,12
1,2002,JONETHO001,9,2,,,,,,,12
1,2002,LUCAJUS001,16,2,,,,,,,12
1,2002,PLUMJAK001,16,2,,,,,,,12
1,2002,BOSTDAV001,8,1,,,,,,,6
1,2002,BUSHSTE001,16,1,,,,,,,6
1,2002,JACKARN001,16,1,,,,,,,6
1,2002,JONEFRE004,16,1,,,,,,,6
1,2002,MCADJAS001,9,1,,,,,,,6
1,2002,POOLNAT001,5,1,,,,,,,6
1,2001,GRAMBIL001,13,,,25,25,16,20,,73
1,2001,BOSTDAV001,16,8,,,,,,,48
1,2001,JONETHO001,16,5,,,,,,,30
1,2001,PITTMIC001,15,5,,,,,,,30
1,2001,OGLECED001,3,,,7,7,5,6,,22
1,2001,JENKMAR001,13,3,,,,,,,18
1,2001,HARDTER001,8,2,,,,,,,12
1,2001,MCKIRON001,16,2,,,,,,,12
1,2001,MITCTYW001,16,2,,,,,,,12
1,2001,SANDFRA001,15,2,,,,,,,12
1,2001,MAKOJOE001,16,1,,,,,,,6
1,2001,VANDKYL001,3,1,,,,,,,6
1,2001,WAKEFRE001,16,1,,,,,,,6
1,2001,WILSADR001,16,1,,,,,,,6
1,2000,BLANCAR001,16,,,18,19,16,23,,66
1,2000,BOSTDAV001,16,7,,,,,,,42
1,2000,PITTMIC001,16,6,,,,,,,36
1,2000,SANDFRA001,16,6,,,,,,,36
1,2000,JONETHO001,14,2,,,,,,,12
1,2000,HARDTER001,16,1,,,,,,,6
1,2000,JENKMAR001,16,1,,,,,,,6
1,2000,WILLAEN001,16,1,,,,,,,6
1,1999,JACKCHR001,16,,,26,26,19,27,,83
1,1999,BATEMAR002,16,9,,,,,,,54
1,1999,MOORROB001,14,5,,,,,,,30
1,1999,BOSTDAV001,16,2,,,,,,,12
1,1999,PITTMIC001,10,2,,,,,,,12
1,1999,PLUMJAK001,12,2,,,,,,,12
1,1999,CODYMAC001,13,1,,,,,,,6
1,1999,FREDROB001,16,1,,,,,,,6
1,1999,LASSKWA001,16,1,,,,,,,6
1,1999,MAKOJOE001,16,1,,,,,,,6
1,1999,MCWIJOH001,15,1,,,,,,,6
1,1999,SANDFRA001,16,1,,,,,,,6
1,1999,SWANERI001,9,1,,,,,,,6
1,1998,NEDNJOE001,12,,,30,30,13,19,,69
1,1998,MURRADR001,15,10,,,,,,,60
1,1998,BATEMAR002,16,6,,,,,,,36
1,1998,JACKCHR001,4,,,6,6,10,14,,36
1,1998,MOORROB001,16,5,,,,,,,30
1,1998,MCWIJOH001,16,4,,,,,,,24
1,1998,PLUMJAK001,16,4,,,,,,,24
1,1998,SANDFRA001,16,3,,,,,,,18
1,1998,CENTLAR001,16,2,,,,,,,12
1,1998,BENNTOM001,16,1,,,,,,,6
1,1998,GEDNCHR001,16,1,,,,,,,6
1,1997,NEDNJOE001,10,,,19,19,11,17,,52
1,1997,MOORROB001,16,8,1,,,,,,50
1,1997,BUTLKEV001,6,,,9,10,8,12,,33
1,1997,SANDFRA001,16,4,1,,,,,,26
1,1997,GEDNCHR001,16,4,,,,,,,24
1,1997,PLUMJAK001,10,2,1,,,,,,14
1,1997,CENTLAR001,15,2,,,,,,,12
1,1997,GRAHKEN002,8,2,,,,,,,12
1,1997,MCELLEE001,14,2,,,,,,,12
1,1997,WILLAEN001,16,2,,,,,,,12
1,1997,BENNTOM001,13,1,,,,,,,6
1,1997,CARTPAT001,16,1,,,,,,,6
1,1997,CASESTO001,3,1,,,,,,,6
1,1997,SMITCED001,16,1,,,,,,,6
1,1997,WILLKEV005,16,1,,,,,,,6
1,1997,WILSBER001,16,1,,,,,,,6
1,1996,BUTLKEV001,7,,,17,19,14,17,,59
1,1996,CENTLAR001,16,9,,,,,,,54
1,1996,DAVIGRE001,9,,,12,12,9,14,,39
1,1996,MOORROB001,16,4,1,,,,,,26
1,1996,JOHNLES001,15,4,,,,,,,24
1,1996,SANDFRA001,16,4,,,,,,,24
1,1996,DOWDMAR001,15,2,,,,,,,12
1,1996,MCELLEE001,16,2,,,,,,,12
1,1996,SMITCED001,15,2,,,,,,,12
1,1996,ESIABOO001,10,1,1,,,,,,8
1,1996,CARTPAT001,16,1,,,,,,,6
1,1996,EDWAANT001,16,1,,,,,,,6
1,1996,MCWIJOH001,12,1,,,,,,,6
1,1996,MILLJAM001,16,1,,,,,,,6
1,1996,WILLAEN001,16,1,,,,,,,6
1,1995,DAVIGRE001,16,,,19,19,30,39,,109
1,1995,MOORROB001,15,5,1,,,,,,32
1,1995,CENTLAR001,16,4,,,,,,,24
1,1995,WILLAEN001,16,3,,,,,,,18
1,1995,SANDFRA001,16,2,2,,,,,,16
1,1995,EDWAANT001,15,2,,,,,,,12
1,1995,GAINWEN001,16,2,,,,,,,12
1,1995,HEARGAR001,16,2,,,,,,,12
1,1995,MCBROSC001,16,2,,,,,,,12
1,1995,ANDESTE001,5,1,2,,,,,,10
1,1995,LYNCLOR001,12,1,,,,,,,6
1,1995,MCCAKEI001,16,1,,,,,,,6
1,1995,SIMMCLY001,16,1,,,,,,,6
1,1994,DAVIGRE001,14,,,17,17,20,26,,77
1,1994,CENTLAR001,16,7,,,,,,,42
1,1994,MOORRON002,16,5,1,,,,,,32
1,1994,PROERIC001,16,5,,,,,,,30
1,1994,PETETOD001,2,,,4,4,2,4,,10
1,1994,BEUESTE001,9,1,,,,,,,6
1,1994,CLARGAR001,15,1,,,,,,,6
1,1994,HEARGAR001,8,1,,,,,,,6
1,1994,MCAFFRE001,7,1,,,,,,,6
1,1994,MCCAKEI001,8,1,,,,,,,6
1,1994,REEVBRY001,14,1,,,,,,,6
1,1994,WAREDER001,15,1,,,,,,,6
1,1994,SWANERI001,16,,,,,,,1,2
1,1993,DAVIGRE001,16,,,37,37,21,28,,100
1,1993,MOORRON002,16,9,,,,,,,54
1,1993,PROERIC001,16,7,,,,,,,42
1,1993,CLARGAR001,14,4,,,,,,,24
1,1993,HILLRAN002,16,4,,,,,,,24
1,1993,CENTLAR001,16,3,,,,,,,18
1,1993,BAILJOH001,13,2,,,,,,,12
1,1993,WILLAEN001,16,2,,,,,,,12
1,1993,BLOUERI001,6,1,,,,,,,6
1,1993,EDWAANT001,16,1,,,,,,,6
1,1993,HEARGAR001,6,1,,,,,,,6
1,1993,LYNCLOR001,16,1,,,,,,,6
1,1993,REEVWAL001,16,1,,,,,,,6
1,1993,ROLLBUT001,16,1,,,,,,,6
1,1993,SWANERI001,9,,,,,,,1,2
1,1992,DAVIGRE001,16,,,28,28,13,26,,67
1,1992,JOHNJOH005,12,6,,,,,,,36
1,1992,JONEERN003,11,4,,,,,,,24
1,1992,HILLRAN002,16,3,,,,,,,18
1,1992,MASSROB001,15,3,,,,,,,18
1,1992,PROERIC001,16,3,,,,,,,18
1,1992,BAILJOH001,12,2,,,,,,,12
1,1992,BROWIVO001,7,2,,,,,,,12
1,1992,CENTLAR001,16,2,,,,,,,12
1,1992,CHANCHR001,15,1,,,,,,,6
1,1992,EDWAANT001,16,1,,,,,,,6
1,1992,JACKJOH002,6,1,,,,,,,6
1,1992,THOMANT002,1,1,,,,,,,6
1,1992,SWANERI001,16,,,,,,,1,2
1,1991,DAVIGRE001,16,,,19,19,21,30,,82
1,1991,JOHNJOH005,15,6,,,,,,,36
1,1991,JONEERN003,16,4,,,,,,,24
1,1991,PROERIC001,16,2,,,,,,,12
1,1991,HILLERI001,16,1,,,,,,,6
1,1991,HILLRAN002,15,1,,,,,,,6
1,1991,LYNCLOR001,16,1,,,,,,,6
1,1991,SADDROD001,4,1,,,,,,,6
1,1991,THOMANT002,16,1,,,,,,,6
1,1991,TUPATOM001,11,1,,,,,,,6
1,1991,WILLWIL002,16,1,,,,,,,6
1,1990,DELGALA001,16,,,31,31,17,27,,82
1,1990,JOHNJOH005,14,5,,,,,,,30
1,1990,GREEROY001,16,4,,,,,,,24
1,1990,JONEERN003,15,4,,,,,,,24
1,1990,PROERIC001,16,4,,,,,,,24
1,1990,THOMANT002,13,4,,,,,,,24
1,1990,ROSETIM001,16,3,,,,,,,18
1,1990,FLAGTER001,13,2,,,,,,,12
1,1990,SMITJTA001,13,2,,,,,,,12
1,1990,TURNMAR001,16,2,,,,,,,12
1,1990,SHARLUI001,16,1,,,,,,,6
1,1989,DELGALA001,16,,,28,29,18,26,,82
1,1989,GREEROY001,12,7,,,,,,,42
1,1989,FERREAR001,15,6,,,,,,,36
1,1989,SMITJTA001,9,5,,,,,,,30
1,1989,JONEERN003,15,3,,,,,,,18
1,1989,JORDTON001,13,2,,,,,,,12
1,1989,HOGEGAR001,14,1,,,,,,,6
1,1989,HOLMDON001,15,1,,,,,,,6
1,1989,MCDOTIM001,16,1,,,,,,,6
1,1989,NOVAJAY001,16,1,,,,,,,6
1,1989,WOLFRON001,16,1,,,,,,,6
1,1989,ZORDMIK001,16,1,,,,,,,6
1,1989,WILSKAR001,15,,,,,,,1,2
1,1988,DELGALA001,16,,,42,44,12,21,,78
1,1988,FERREAR001,16,9,,,,,,,54
1,1988,GREEROY001,16,7,,,,,,,42
1,1988,MITCSTU001,14,5,,,,,,,30
1,1988,SMITJTA001,16,5,,,,,,,30
1,1988,AWALROB001,16,4,,,,,,,24
1,1988,NOVAJAY001,16,4,,,,,,,24
1,1988,JONEERN003,16,3,,,,,,,18
1,1988,JORDTON001,9,3,,,,,,,18
1,1988,JUNIEJA001,16,1,,,,,,,6
1,1988,LOMANEI001,14,1,,,,,,,6
1,1988,MACKCED001,16,1,,,,,,,6
1,1988,SADDROD001,16,1,,,,,,,6
1,1988,HARVKEN001,16,,,,,,,1,2
1,1987,GALLJIM001,13,,,30,31,9,19,,57
1,1987,SMITJTA001,15,8,,,,,,,48
1,1987,FERREAR001,11,7,,,,,,,42
1,1987,AWALROB001,12,6,,,,,,,36
1,1987,MITCSTU001,12,5,,,,,,,30
1,1987,GREEROY001,12,4,,,,,,,24
1,1987,MCADDER001,15,4,,,,,,,24
1,1987,DELGALA001,3,,,8,9,4,5,,20
1,1987,NOVAJAY001,7,3,,,,,,,18
1,1987,JOHNTRO001,14,2,,,,,,,12
1,1987,STAUJAS001,2,,,6,6,1,3,,9
1,1987,GARZSAM001,2,1,,,,,,,6
1,1987,JACKMAR004,11,1,,,,,,,6
1,1987,NOGANIK001,12,1,,,,,,,6
1,1987,NOGAPET001,3,1,,,,,,,6
1,1987,SIKAVAI001,15,1,,,,,,,6
1,1987,SMITLEO001,15,1,,,,,,,6
1,1987,WOLFRON001,12,1,,,,,,,6
1,1986,LEEAJOH002,11,,,14,17,8,13,,38
1,1986,GREEROY001,11,6,,,,,,,36
1,1986,SMITJTA001,16,6,,,,,,,36
1,1986,MITCSTU001,15,5,,,,,,,30
1,1986,FERREAR001,16,3,,,,,,,18
1,1986,SCHUERI001,5,,,9,9,3,11,,18
1,1986,SIKAVAI001,16,3,,,,,,,18
1,1986,ANDEOTT001,4,2,,,,,,,12
1,1986,FOXACHA001,4,1,,,,,,,6
1,1986,LOMANEI001,14,1,,,,,,,6
1,1985,MITCSTU001,16,10,,,,,,,60
1,1985,ODONNEI002,8,,,19,19,10,18,,49
1,1985,TILLPAT001,16,6,,,,,,,36
1,1985,GREEROY001,13,5,,,,,,,30
1,1985,ANDEOTT001,9,4,,,,,,,24
1,1985,FERREAR001,11,4,,,,,,,24
1,1985,BOJONOV001,6,,,11,12,3,7,,20
1,1985,DUNCCLY001,11,1,,,,,,,6
1,1985,HARRPER001,11,1,,,,,,,6
1,1985,MARSDOU001,16,1,,,,,,,6
1,1985,SMITJTA001,14,1,,,,,,,6
1,1985,WASHLIO001,5,1,,,,,,,6
1,1985,ATKIJES001,2,,,3,3,,3,,3
1,1984,ODONNEI002,16,,,48,51,23,35,,117
1,1984,GREEROY001,16,12,,,,,,,72
1,1984,MITCSTU001,16,11,,,,,,,66
1,1984,ANDEOTT001,15,8,,,,,,,48
1,1984,MARSDOU001,16,5,,,,,,,30
1,1984,TILLPAT001,16,5,,,,,,,30
1,1984,LOMANEI001,16,3,,,,,,,18
1,1984,FERREAR001,16,2,,,,,,,12
1,1984,LOVERAN001,16,2,,,,,,,12
1,1984,HARRWIL002,16,1,,,,,,,6
1,1984,HOWATOM001,15,1,,,,,,,6
1,1984,SMITLEO001,12,1,,,,,,,6
1,1983,ODONNEI002,16,,,45,47,15,28,,90
1,1983,GREEROY001,16,14,,,,,,,84
1,1983,MARSDOU001,16,8,,,,,,,48
1,1983,ANDEOTT001,15,6,,,,,,,36
1,1983,TILLPAT001,16,5,,,,,,,30
1,1983,LOVERAN001,16,3,,,,,,,18
1,1983,MITCSTU001,15,3,,,,,,,18
1,1983,LOMANEI001,13,2,,,,,,,12
1,1983,MORRWAY001,15,2,,,,,,,12
1,1983,FERREAR001,16,1,,,,,,,6
1,1983,GROOELO001,11,1,,,,,,,6
1,1983,NELSLEE001,16,1,,,,,,,6
1,1983,PERRBEN001,16,1,,,,,,,6
1,1983,GALLDAV002,16,,,,,,,1,2
1,1982,ODONNEI002,8,,,15,16,8,13,,39
1,1982,MORRWAY001,9,4,,,,,,,24
1,1982,ANDEOTT001,8,3,,,,,,,18
1,1982,GREEROY001,9,3,,,,,,,18
1,1982,TILLPAT001,9,2,,,,,,,12
1,1982,LAFLGRE001,9,1,,,,,,,6
1,1982,LOMANEI001,9,1,,,,,,,6
1,1982,MITCSTU001,9,1,,,,,,,6
1,1982,WEHRROG001,8,1,,,,,,,6
1,1981,ODONNEI002,16,,,36,37,19,32,,93
1,1981,ANDEOTT001,16,9,,,,,,,54
1,1981,GREEROY001,16,5,,,,,,,30
1,1981,MORRWAY001,16,5,,,,,,,30
1,1981,TILLPAT001,16,3,,,,,,,18
1,1981,BROWTHE001,4,2,,,,,,,12
1,1981,GRAYMEL001,12,2,,,,,,,12
1,1981,HARRWIL002,16,2,,,,,,,12
1,1981,LAFLGRE001,16,2,,,,,,,12
1,1981,LOMANEI001,14,2,,,,,,,12
1,1981,MITCSTU001,16,2,,,,,,,12
1,1981,AHREDAV001,16,1,,,,,,,6
1,1981,MARSDOU001,4,1,,,,,,,6
1,1981,STIEDAV001,12,1,,,,,,,6
1,1980,ANDEOTT001,16,9,,,,,,,54
1,1980,ODONNEI002,10,,,18,18,11,15,,51
1,1980,MORRWAY001,16,7,,,,,,,42
1,1980,TILLPAT001,14,6,,,,,,,36
1,1980,LITTSTE001,6,,,17,19,3,8,,26
1,1980,MARSDOU001,16,4,,,,,,,24
1,1980,GRAYMEL001,16,3,,,,,,,18
1,1980,HARRWIL002,16,3,,,,,,,18
1,1980,BROWTHE001,16,2,,,,,,,12
1,1980,ALLECAR002,16,1,,,,,,,6
1,1980,COMBCHR001,16,1,,,,,,,6
1,1980,GREEROY001,15,1,,,,,,,6
1,1979,ANDEOTT001,16,10,,,,,,,60
1,1979,LITTSTE001,16,,,24,32,10,19,,54
1,1979,MORRWAY001,15,9,,,,,,,54
1,1979,BROWTHE001,16,7,,,,,,,42
1,1979,TILLPAT001,16,6,,,,,,,36
1,1979,CHANALA001,8,2,,,,,,,12
1,1979,WOODMIK001,3,,,6,7,2,7,,12
1,1979,ARNEMAR001,11,1,,,,,,,6
1,1979,GRAYMEL001,13,1,,,,,,,6
1,1979,GREEROY001,16,1,,,,,,,6
1,1979,NEILSTE001,9,1,,,,,,,6
1,1979,PHILROD001,11,1,,,,,,,6
1,1979,WEHRROG001,16,1,,,,,,,6
1,1979,PARRGAR001,9,,,1,1,,,,1
1,1978,BAKKJIM001,16,,,27,30,11,22,,60
1,1978,OTISJIM001,15,8,,,,,,,48
1,1978,CHANALA001,11,4,,,,,,,24
1,1978,STIEDAV001,15,4,,,,,,,24
1,1978,TILLPAT001,16,3,,,,,,,18
1,1978,GRAYMEL001,13,2,,,,,,,12
1,1978,HARTJIM002,15,2,,,,,,,12
1,1978,JONESTE001,16,2,,,,,,,12
1,1978,MORRWAY001,13,2,,,,,,,12
1,1978,THAXJIM001,5,1,,,,,,1,8
