fid,season,playerid,g,pr,pryds,prtd,kr,kryds,krtd
1,1998,METCERI001,16,43,295,0,57,1218,0
1,1998,PITTMIC001,15,,,,4,84,0
1,1998,GEDNCHR001,16,,,,2,12,0
1,1997,WILLKEV005,16,40,462,0,59,1458,0
1,1997,EDWAANT001,16,1,-1,0,,,
1,1997,BOUIKEV001,5,,,,6,136,0
1,1997,SMITCED001,16,,,,3,50,0
1,1997,GEDNCHR001,16,,,,2,26,0
1,1997,JOHNLES001,14,,,,0,26,0
1,1996,DOWDMAR001,15,34,297,0,5,122,0
1,1996,EDWAANT001,16,5,46,0,,,
1,1996,MCELLEE001,16,,,,54,1148,0
1,1996,JOHNLES001,15,,,,10,198,0
1,1996,TERRRYA001,5,,,,4,84,0
1,1996,MCDODEV001,16,,,,1,16,0
1,1996,SMITCED001,15,,,,1,14,0
1,1995,EDWAANT001,15,18,131,0,3,50,0
1,1995,REEVBRY001,5,4,41,0,,,
1,1995,DOWDMAR001,13,1,0,0,18,344,0
1,1995,TERRRYA001,15,,,,37,808,0
1,1995,JOHNLES001,3,,,,11,259,0
1,1995,HIGGMAR001,1,,,,2,26,0
1,1995,ANDESTE001,5,,,,1,17,0
1,1995,CENTLAR001,16,,,,1,15,0
1,1994,ROBIPAT001,15,41,285,0,12,231,0
1,1994,REEVBRY001,14,1,1,0,3,83,0
1,1994,LEVYCHU001,11,,,,26,513,0
1,1994,MCAFFRE001,7,,,,7,113,0
1,1994,HENEBRI001,3,,,,6,108,0
1,1994,HIGGMAR001,6,,,,2,25,0
1,1994,SAMUTER001,16,,,,1,6,0
1,1993,BAILJOH001,13,35,282,1,31,699,0
1,1993,BLOUERI001,6,9,90,0,8,163,0
1,1993,EDWAANT001,16,3,12,0,3,51,0
1,1993,LOFTSTE001,13,,,,1,18,0
1,1993,SMITLAN001,16,,,,1,11,0
1,1993,MOORRON002,16,,,,1,9,0
1,1992,BAILJOH001,12,20,263,0,28,690,0
1,1992,BLOUERI001,4,13,101,0,11,251,0
1,1992,EDWAANT001,16,,,,8,143,0
1,1992,SMITLAN001,16,,,,2,16,0
1,1992,JACKJOH002,6,,,,1,17,0
1,1992,ROLLBUT001,16,,,,1,10,0
1,1991,JACKJOH002,16,31,244,0,2,41,0
1,1991,CENTLAR001,9,5,30,0,16,330,0
1,1991,PROERIC001,16,4,26,0,,,
1,1991,EDWAANT001,13,1,7,0,13,261,0
1,1991,FLAGTER001,7,,,,12,208,0
1,1991,HILLRAN002,15,,,,8,113,0
1,1991,LOMATON001,1,,,,1,19,0
1,1990,SIKAVAI001,16,36,306,0,27,544,0
1,1990,SMITJTA001,13,3,34,0,,,
1,1990,PROERIC001,16,1,2,0,4,53,0
1,1990,CENTLAR001,6,,,,16,272,0
1,1990,FLAGTER001,13,,,,10,167,0
1,1990,JAXAGAR001,16,,,,2,17,0
1,1990,GREEROY001,16,,,,1,15,0
1,1989,SIKAVAI001,16,37,433,0,43,874,0
1,1989,JONEERN003,15,1,13,0,7,124,0
1,1989,MCCOPHI001,6,1,13,0,2,40,0
1,1989,USHEDAR001,7,1,10,0,17,347,0
1,1989,BAKETON002,10,,,,11,245,0
1,1989,CARRLYD001,5,,,,1,15,0
1,1989,REEVWAL001,16,,,,1,5,0
1,1989,CLARJES001,11,,,,1,0,0
1,1988,SIKAVAI001,12,33,341,0,23,475,0
1,1988,SMITJTA001,16,17,119,0,,,
1,1988,HUNLRIC001,16,1,3,0,,,
1,1988,MCADDER001,4,1,0,0,9,203,0
1,1988,JONEERN003,16,,,,11,147,0
1,1988,MITCSTU001,14,,,,10,221,0
1,1988,FERREAR001,16,,,,2,25,0
1,1988,CLARJES001,4,,,,2,10,0
1,1988,JEFFTON002,3,,,,1,11,0
1,1988,SCHIAND001,3,,,,1,10,0
1,1988,PHILREG001,16,,,,1,4,0
1,1987,SIKAVAI001,15,44,550,1,34,761,0
1,1987,MCADDER001,15,,,,23,444,0
1,1987,SARGBRO001,15,,,,3,37,0
1,1987,BROWRON002,3,,,,1,40,0
1,1987,HOLMDON001,11,,,,1,25,0
1,1987,FERREAR001,11,,,,1,10,0
1,1986,SIKAVAI001,16,43,522,2,37,847,0
1,1986,SMITJTA001,16,1,6,0,,,
1,1986,CARTCAR001,14,1,0,0,2,21,0
1,1986,SWANERI002,9,,,,10,206,0
1,1986,MITCSTU001,15,,,,6,203,0
1,1986,FOXACHA001,4,,,,6,161,0
1,1986,JOHNTRO001,13,,,,3,46,0
1,1986,FERREAR001,16,,,,3,41,0
1,1986,SARGBRO001,16,,,,2,27,0
1,1986,HOLMDON001,12,,,,1,2,0
1,1986,WOLFRON001,16,,,,0,-6,0
1,1985,SMITJTA001,14,26,283,0,4,59,0
1,1985,MITCSTU001,16,11,97,0,19,345,0
1,1985,NELSLEE001,13,2,14,0,3,49,0
1,1985,TILLPAT001,16,1,-1,0,,,
1,1985,DUNCCLY001,11,,,,28,550,0
1,1985,WOLFRON001,16,,,,13,234,0
1,1985,SMITLEO001,16,,,,5,68,0
1,1985,HARRPER001,11,,,,4,77,0
1,1985,NOVAJAY001,16,,,,1,20,0
1,1985,MUMFTON001,2,,,,1,19,0
1,1984,MITCSTU001,16,38,333,0,35,804,0
1,1984,BIRDSTE001,8,5,56,0,9,190,0
1,1984,PITTDAN001,10,4,10,0,14,319,0
1,1984,HARRWIL002,16,,,,13,231,0
1,1984,GREEROY001,16,,,,1,18,0
1,1984,LOVERAN001,16,,,,1,1,0
1,1984,FERREAR001,16,,,,1,0,0
1,1983,MITCSTU001,15,38,337,0,36,778,0
1,1983,BIRDSTE001,14,14,76,0,9,194,0
1,1983,HARRWIL002,14,5,31,0,3,62,0
1,1983,FERREAR001,16,1,17,0,13,257,0
1,1983,SCHMGEO001,16,,,,4,41,0
1,1983,LOVERAN001,16,,,,3,71,0
1,1983,SMITLEO001,16,,,,1,19,0
1,1983,GREEROY001,16,,,,1,14,0
1,1983,DUDAMAR001,14,,,,1,12,0
1,1983,ALLEKUR001,16,,,,1,11,0
1,1982,MITCSTU001,9,27,165,0,16,364,0
1,1982,GREEROY001,9,3,20,0,,,
