fid,franchise,team,league,from,to,playoffs,div_champ,conference_champ,league_champ,sb_champ
47,Cleveland Bulldogs,Cleveland Indians,NFL,1923,1923,,,,,
47,Cleveland Bulldogs,Cleveland Bulldogs,NFL,1924,1925,,,,1,
47,Cleveland Bulldogs,Cleveland Bulldogs,NFL,1927,1927,,,,,
48,Cleveland Indians,Cleveland Indians,NFL,1931,1931,,,,,
49,Cleveland Indians,Cleveland Tigers,APFA,1920,1920,,,,,
49,Cleveland Indians,Cleveland Indians,APFA,1921,1921,,,,,
50,Columbus Tigers,Columbus Panhandles,APFA,1920,1921,,,,,
50,Columbus Tigers,Columbus Panhandles,NFL,1922,1922,,,,,
50,Columbus Tigers,Columbus Tigers,NFL,1923,1926,,,,,
51,Dallas Texans,Dallas Texans,NFL,1952,1952,,,,,
52,Dayton Triangles,Dayton Triangles,APFA,1920,1921,,,,,
52,Dayton Triangles,Dayton Triangles,NFL,1922,1929,,,,,
53,Detroit Heralds,Detroit Heralds,APFA,1920,1920,,,,,
54,Detroit Panthers,Detroit Panthers,NFL,1925,1926,,,,,
55,Detroit Tigers,Detroit Tigers,APFA,1921,1921,,,,,
56,Detroit Wolverines,Detroit Wolverines,NFL,1928,1928,,,,,
57,Duluth Eskimos,Duluth Kelleys,NFL,1923,1925,,,,,
57,Duluth Eskimos,Duluth Eskimos,NFL,1926,1927,,,,,
58,Evansville Crimson Giants,Evansville Crimson Giants,APFA,1921,1921,,,,,
58,Evansville Crimson Giants,Evansville Crimson Giants,NFL,1922,1922,,,,,
59,Frankford Yellow Jackets,Frankford Yellow Jackets,NFL,1924,1931,,,,1,
60,Hammond Pros,Hammond Pros,APFA,1920,1921,,,,,
60,Hammond Pros,Hammond Pros,NFL,1922,1926,,,,,
61,Hartford Blues,Hartford Blues,NFL,1926,1926,,,,,
62,Kansas City Cowboys,Kansas City Blues,NFL,1924,1924,,,,,
62,Kansas City Cowboys,Kansas City Cowboys,NFL,1925,1926,,,,,
63,Kenosha Maroons,Kenosha Maroons,NFL,1924,1924,,,,,
64,Los Angeles Buccaneers,Los Angeles Buccaneers,NFL,1926,1926,,,,,
66,Louisville Colonels,Louisville Brecks,APFA,1921,1921,,,,,
66,Louisville Colonels,Louisville Brecks,NFL,1922,1923,,,,,
66,Louisville Colonels,Louisville Colonels,NFL,1926,1926,,,,,
68,Milwaukee Badgers,Milwaukee Badgers,NFL,1922,1926,,,,,
69,Minneapolis Red Jackets,Minneapolis Marines,APFA,1921,1921,,,,,
69,Minneapolis Red Jackets,Minneapolis Marines,NFL,1922,1924,,,,,
69,Minneapolis Red Jackets,Minneapolis Red Jackets,NFL,1929,1930,,,,,
70,Muncie Flyers,Muncie Flyers,APFA,1920,1921,,,,,
71,New York Brickley Giants,New York Brickley Giants,APFA,1921,1921,,,,,
72,New York Yankees,New York Yankees,NFL,1927,1928,,,,,
74,New York Yanks,New York Bulldogs,NFL,1949,1949,,,,,
74,New York Yanks,New York Yanks,NFL,1950,1951,,,,,
75,Newark Tornadoes,Orange Tornadoes,NFL,1929,1929,,,,,
75,Newark Tornadoes,Newark Tornadoes,NFL,1930,1930,,,,,
76,Oorang Indians,Oorang Indians,NFL,1922,1923,,,,,
77,Providence Steam Roller,Providence Steam Roller,NFL,1925,1931,,,,1,
78,Racine Tornadoes,Racine Legion,NFL,1922,1924,,,,,
