fid,season,playerid,g,patt,pcmp,pyds,ptd,pint
8,1972,PHIPMIK001,14,305,144,1994,13,16
8,1972,NELSBIL001,4,31,14,141,0,3
8,1972,KELLLER001,14,1,0,0,0,0
8,1971,NELSBIL001,14,325,174,2319,13,23
8,1971,PHIPMIK001,14,47,13,179,1,4
8,1971,KELLLER001,14,4,1,23,0,0
8,1970,NELSBIL001,12,313,159,2156,16,16
8,1970,PHIPMIK001,14,60,29,529,1,5
8,1970,GAULDON001,2,19,2,67,0,3
8,1969,NELSBIL001,14,352,190,2743,23,19
8,1969,RHOMJER001,11,19,7,35,0,2
8,1969,KELLLER001,13,5,1,36,1,0
8,1969,MORRREE001,14,1,1,16,0,0
8,1969,JOHNRON001,14,1,0,0,0,0
8,1968,NELSBIL001,14,293,152,2366,19,10
8,1968,RYANFRA001,7,66,31,639,7,6
8,1968,KELLLER001,14,4,1,34,1,0
8,1967,RYANFRA001,13,280,136,2026,20,16
8,1967,LANEGAR002,3,43,21,254,2,1
8,1967,SHINDIC001,13,9,3,34,0,1
8,1967,KELLLER001,14,1,0,0,0,0
8,1966,RYANFRA001,14,382,200,2974,29,14
8,1966,NINOJIM001,14,18,11,175,4,1
8,1966,KELLLER001,14,1,0,0,0,0
8,1966,GROZLOU001,14,1,1,-7,0,0
8,1965,RYANFRA001,12,243,119,1751,18,13
8,1965,NINOJIM001,6,83,40,549,4,3
8,1965,BROWJIM002,14,2,1,39,1,0
8,1965,GROZLOU001,14,1,0,0,0,0
8,1964,RYANFRA001,14,334,174,2404,25,19
8,1964,NINOJIM001,3,9,6,125,2,0
8,1964,BROWJIM002,14,1,1,13,1,0
8,1963,RYANFRA001,13,256,135,2026,25,13
8,1963,NINOJIM001,4,61,29,423,2,6
8,1963,BROWJIM002,14,4,0,0,0,0
8,1963,GROZLOU001,14,1,0,0,0,1
8,1962,RYANFRA001,11,194,112,1541,10,7
8,1962,NINOJIM001,7,173,87,1178,7,8
8,1962,BROWJIM002,14,2,1,28,0,0
8,1962,SCALCHA001,14,1,0,0,0,1
8,1961,PLUMMIL001,14,302,177,2416,18,10
8,1961,DAWSLEN001,7,15,7,85,1,3
8,1961,BROWJIM002,14,3,1,37,1,0
8,1960,PLUMMIL001,12,250,151,2297,21,5
8,1960,DAWSLEN001,2,13,8,23,0,0
8,1960,MITCBOB002,12,1,1,23,1,0
8,1959,PLUMMIL001,12,266,156,1992,14,8
8,1959,NINOJIM001,2,10,3,41,0,1
8,1958,PLUMMIL001,12,189,102,1619,11,11
8,1958,NINOJIM001,4,17,8,139,1,3
8,1957,OCONTOM001,11,110,63,1229,9,8
8,1957,PLUMMIL001,9,76,41,590,2,5
8,1957,BORTJOH001,5,6,3,22,0,1
8,1957,HANUCHE001,12,2,1,32,1,0
8,1957,CAMPMIL001,9,1,0,0,0,0
8,1956,OCONTOM001,7,96,42,551,4,8
8,1956,RATTGEO001,4,57,39,398,1,3
8,1956,PARIBAB001,5,49,24,409,3,7
8,1955,GRAHOTT001,12,185,98,1721,15,8
8,1955,RATTGEO001,10,47,32,504,6,3
8,1955,RENFRAY001,12,2,0,0,0,0
8,1954,GRAHOTT001,12,240,142,2092,11,17
8,1954,RATTGEO001,6,53,32,465,3,3
8,1954,LAHRWAR001,12,1,0,0,0,1
8,1954,RENFRAY001,7,1,0,0,0,1
8,1953,GRAHOTT001,12,258,167,2722,11,9
8,1953,RATTGEO001,9,41,23,301,4,0
8,1953,RENFRAY001,12,3,1,36,1,0
8,1953,JONEDUB001,12,1,0,0,0,0
8,1952,GRAHOTT001,12,364,181,2816,20,24
8,1952,RATTGEO001,6,6,2,20,1,2
8,1952,JONEDUB001,12,2,1,3,1,0
8,1952,MOTLMAR001,12,2,0,0,0,0
8,1951,GRAHOTT001,12,265,147,2205,17,16
8,1951,LEWICLI001,12,6,4,68,1,1
8,1950,GRAHOTT001,12,253,137,1943,14,20
8,1950,LEWICLI001,11,4,1,38,1,0
8,1950,GILLHOR001,12,1,1,3,0,0
8,1950,CARPKEN001,12,1,0,0,0,1
8,1950,GROZLOU001,10,1,0,0,0,0
9,2018,PRESDAK001,16,526,356,3885,22,8
9,2018,BEASCOL001,16,1,0,0,0,0
9,2017,PRESDAK001,16,490,308,3324,22,13
9,2017,RUSHCOO001,2,3,1,2,0,0
9,2016,PRESDAK001,16,459,311,3667,23,4
9,2016,SANCMAR001,2,18,10,93,0,2
9,2016,ROMOTON001,1,4,3,29,1,0
9,2016,BRYADEZ001,13,1,1,10,1,0
9,2016,BEASCOL001,16,1,0,0,0,0
9,2015,CASSMAT001,9,205,119,1276,5,7
9,2015,ROMOTON001,4,121,83,884,5,7
9,2015,MOORKEL001,3,104,61,779,4,6
9,2015,WEEDBRA001,4,98,71,739,2,2
9,2015,MCFADAR001,16,1,0,0,0,0
9,2014,ROMOTON001,15,435,304,3705,34,9
9,2014,WEEDBRA001,5,41,24,303,3,2
9,2013,ROMOTON001,15,535,342,3828,31,10
9,2013,ORTOKYL001,3,51,33,398,2,2
9,2012,ROMOTON001,16,648,425,4903,28,19
9,2012,ORTOKYL001,1,10,9,89,1,0
9,2011,ROMOTON001,16,522,346,4184,31,10
9,2011,MCGESTE001,1,38,24,182,1,0
9,2011,KITNJON001,3,10,6,87,1,2
9,2010,KITNJON001,10,318,209,2365,16,12
9,2010,ROMOTON001,6,213,148,1605,11,7
9,2010,MCGESTE001,2,44,22,238,2,0
9,2010,BARBMAR002,13,1,0,0,0,0
9,2009,ROMOTON001,16,550,347,4483,26,9
9,2008,ROMOTON001,13,450,276,3448,26,14
9,2008,JOHNBRA001,16,78,41,427,2,5
9,2008,BOLLBRO001,2,17,10,71,1,1
9,2008,WITTJAS001,16,1,1,42,0,0
9,2008,CRAYPAT001,16,1,0,0,0,0
9,2007,ROMOTON001,16,520,335,4211,36,19
9,2007,JOHNBRA001,16,11,7,79,0,0
9,2006,ROMOTON001,16,337,220,2903,19,13
9,2006,BLEDDRE001,6,169,90,1164,7,8
9,2005,BLEDDRE001,16,499,300,3639,23,17
9,2005,JOHNKEY001,16,1,0,0,0,0
9,2005,BARBMAR002,13,0,0,0,0,0
9,2004,TESTVIN001,16,495,297,3532,17,20
9,2004,HENSDRE001,7,18,10,78,1,1
9,2004,JOHNKEY001,16,2,0,0,0,1
9,2004,ANDERIC001,12,1,1,26,1,0
9,2004,CRAYPAT001,8,1,0,0,0,1
9,2004,GLENTER001,6,1,0,0,0,0
9,2004,MCBRMAT001,16,1,0,0,0,0
9,2003,CARTQUI001,16,505,292,3302,17,21
9,2003,HUTCCHA001,1,2,1,8,0,0
9,2003,CASOAVE001,10,1,1,37,0,0
9,2003,ANDERIC001,15,1,0,0,0,0
9,2003,GLENTER001,16,1,0,0,0,0
9,2002,HUTCCHA001,9,250,127,1555,7,8
9,2002,CARTQUI001,7,221,125,1465,7,8
9,2002,WILEMIC001,16,0,0,0,0,0
9,2001,CARTQUI001,8,176,90,1072,5,7
9,2001,WRIGANT001,4,98,48,529,5,5
9,2001,LEAFRYA001,4,88,45,494,1,3
9,2001,STOECLI001,4,49,26,314,3,5
9,2001,KNORMIC001,16,1,0,0,0,0
9,2001,GALLJOE001,16,1,1,-1,0,0
9,2000,AIKMTRO001,11,262,156,1632,7,14
9,2000,CUNNRAN001,6,125,74,849,6,4
9,2000,WRIGANT001,4,53,22,237,0,3
9,2000,STOECLI001,1,5,3,53,1,0
9,1999,AIKMTRO001,14,442,263,2964,17,12
9,1999,GARRJAS001,5,64,32,314,3,1
9,1999,SANDDEI001,14,1,0,0,0,0
9,1998,AIKMTRO001,11,315,187,2330,12,5
9,1998,GARRJAS001,8,158,91,1206,5,3
9,1998,QUINMIK001,3,1,1,10,0,0
9,1997,AIKMTRO001,16,518,292,3283,19,12
9,1997,WILSWAD001,7,21,12,115,0,0
9,1997,GARRJAS001,1,14,10,56,0,0
9,1996,AIKMTRO001,15,465,296,3126,12,13
9,1996,WILSWAD001,3,18,8,79,0,1
9,1996,GARRJAS001,1,3,3,44,0,0
9,1996,WILLSHE001,16,1,0,0,0,0
9,1995,AIKMTRO001,16,432,280,3304,16,7
9,1995,WILSWAD001,7,57,38,391,1,3
9,1995,GARRJAS001,1,5,4,46,1,0
9,1994,AIKMTRO001,14,361,233,2676,13,12
9,1994,PEETROD001,7,56,33,470,4,1
9,1994,GARRJAS001,2,31,16,315,2,1
9,1993,AIKMTRO001,14,392,271,3100,15,6
9,1993,KOSABER001,4,63,36,410,3,0
9,1993,GARRJAS001,5,19,9,61,0,0
9,1993,HARPALV001,16,1,1,46,0,0
9,1992,AIKMTRO001,16,473,302,3445,23,14
9,1992,BEUESTE001,16,18,12,152,0,1
9,1991,AIKMTRO001,12,363,237,2754,11,10
9,1991,BEUESTE001,8,137,68,909,5,2
9,1990,AIKMTRO001,15,399,226,2579,11,18
9,1990,LAUFBAB001,4,67,24,279,1,6
9,1990,WALSSTE001,1,9,4,40,0,0
9,1989,AIKMTRO001,11,293,155,1749,9,18
9,1989,WALSSTE001,8,219,110,1371,5,9
9,1989,SAXOMIK001,16,1,1,4,0,0
9,1988,PELLSTE001,16,435,245,3139,17,19
9,1988,SWEEKEV001,3,78,33,314,3,5
9,1988,WHITDAN002,3,42,29,274,1,3
9,1987,WHITDAN002,11,362,215,2617,12,17
9,1987,PELLSTE001,12,101,55,642,3,2
9,1987,SWEEKEV001,3,28,14,291,4,1
9,1987,SNYDLOR001,2,9,4,44,0,0
9,1986,PELLSTE001,16,378,215,2727,8,17
9,1986,WHITDAN002,7,153,95,1157,12,5
9,1986,COLLREG001,4,15,8,96,1,2
9,1986,RENFMIK001,12,1,1,23,0,0
9,1985,WHITDAN002,14,450,267,3157,21,17
9,1985,HOGEGAR001,16,126,70,978,5,7
9,1985,PELLSTE001,2,8,5,47,0,0
9,1985,JONEJAM002,16,2,1,12,1,1
9,1985,HILLTON002,15,1,1,42,0,0
9,1984,HOGEGAR001,16,367,195,2366,7,14
9,1984,WHITDAN002,14,233,126,1580,11,11
9,1984,RENFMIK001,16,2,1,49,1,0
9,1984,DORSTON001,16,1,0,0,0,1
9,1984,SPRIRON001,16,1,0,0,0,0
9,1983,WHITDAN002,16,533,334,3980,29,23
9,1983,HOGEGAR001,6,17,11,161,1,1
9,1983,SPRIRON001,16,2,1,15,1,0
9,1983,DORSTON001,16,1,0,0,0,0
9,1983,PEARDRE001,14,1,0,0,0,1
9,1982,WHITDAN002,9,247,156,2079,16,12
9,1982,HOGEGAR001,4,8,3,45,0,1
9,1982,PEARDRE001,9,2,1,26,0,1
9,1982,DORSTON001,9,1,0,0,0,0
9,1981,WHITDAN002,16,391,223,3098,22,13
9,1981,CARAGLE001,5,45,16,235,1,1
9,1981,PEARDRE001,16,2,2,81,1,0
9,1981,SPRIRON001,16,1,0,0,0,1
9,1980,WHITDAN002,16,436,260,3287,28,25
9,1980,CARAGLE001,3,12,5,69,2,0
9,1980,DORSTON001,15,1,0,0,0,0
9,1979,STAUROG001,16,461,267,3586,27,11
9,1979,WHITDAN002,16,39,19,267,1,2
9,1979,SPRIRON001,16,3,1,30,1,0
9,1978,STAUROG001,15,413,231,3190,25,16
9,1978,WHITDAN002,16,34,20,215,0,1
9,1978,DORSTON001,16,1,0,0,0,0
9,1978,HILLTON002,16,1,0,0,0,0
9,1977,STAUROG001,14,361,210,2620,18,9
9,1977,WHITDAN002,14,10,4,35,0,1
9,1977,DORSTON001,14,1,1,34,0,0
9,1977,WATECHA001,14,0,0,0,0,0
9,1976,STAUROG001,14,369,208,2715,14,11
9,1976,WHITDAN002,14,20,13,213,2,2
9,1976,PEARDRE001,14,1,1,39,1,0
9,1975,STAUROG001,13,348,198,2666,17,16
9,1975,LONGCLI001,4,23,7,102,1,1
9,1975,HOOPMIT001,14,3,1,21,0,0
9,1975,NEWHROB001,14,2,1,46,1,0
9,1974,STAUROG001,14,360,190,2552,11,15
9,1974,LONGCLI001,2,21,12,209,2,0
9,1974,MORTCRA001,6,2,2,12,0,0
9,1974,PEARDRE001,14,1,1,46,1,0
9,1974,CARRDUA001,7,1,1,37,0,0
9,1973,STAUROG001,14,286,179,2428,23,15
9,1973,MORTCRA001,14,32,13,174,3,1
9,1973,GARRWAL001,13,1,0,0,0,0
9,1973,HILLCAL001,14,1,0,0,0,0
9,1973,MONTMIK001,9,1,0,0,0,0
9,1972,MORTCRA001,14,339,185,2396,15,21
9,1972,STAUROG001,4,20,9,98,0,2
9,1972,HILLCAL001,14,3,1,55,1,0
9,1972,MONTMIK001,12,3,1,31,0,0
9,1972,REEVDAN001,14,2,0,0,0,0
9,1971,STAUROG001,13,211,126,1882,15,4
9,1971,MORTCRA001,10,143,78,1131,7,8
9,1971,REEVDAN001,14,5,2,24,0,1
9,1971,HILLCAL001,8,1,0,0,0,1
9,1971,THOMDUA001,11,1,0,0,0,0
9,1970,MORTCRA001,12,207,102,1819,15,7
9,1970,STAUROG001,8,82,44,542,2,8
9,1970,HILLCAL001,12,4,1,12,0,0
9,1970,REEVDAN001,14,3,1,14,0,1
9,1970,RENTLAN001,11,1,1,58,1,0
9,1969,MORTCRA001,13,302,162,2619,21,15
9,1969,STAUROG001,6,47,23,421,1,2
9,1969,HILLCAL001,13,3,3,137,2,0
9,1969,REEVDAN001,13,3,1,35,0,1
9,1968,MEREDON001,13,309,171,2500,21,12
9,1968,MORTCRA001,13,85,44,752,4,6
9,1968,REEVDAN001,4,4,2,43,0,0
9,1968,BAYNCRA001,14,1,0,0,0,0
9,1967,MEREDON001,11,255,128,1834,16,16
9,1967,MORTCRA001,9,137,69,978,10,10
9,1967,RHOMJER001,14,18,9,86,0,1
9,1967,REEVDAN001,14,7,4,195,2,1
9,1966,MEREDON001,13,344,177,2805,24,12
9,1966,RHOMJER001,7,36,21,253,0,1
9,1966,MORTCRA001,6,27,13,225,3,1
9,1966,REEVDAN001,14,6,3,48,0,0
9,1965,MEREDON001,14,305,141,2415,22,13
9,1965,MORTCRA001,4,34,17,173,2,4
9,1965,RHOMJER001,11,21,9,157,1,1
9,1965,REEVDAN001,13,2,1,11,0,0
9,1964,MEREDON001,12,323,158,2143,9,16
9,1964,ROACJOH001,9,68,32,349,1,6
9,1964,LOTHBIL001,14,9,2,24,0,2
9,1964,DUNNPER001,14,2,0,0,0,0
9,1964,CLARFRA001,14,1,0,0,0,0
9,1964,STIGJIM001,14,1,0,0,0,0
9,1963,MEREDON001,14,310,167,2381,17,18
9,1963,LEBAEDD001,13,65,33,418,3,3
9,1962,MEREDON001,13,212,105,1679,15,8
9,1962,LEBAEDD001,14,166,95,1436,16,9
9,1962,BAKESAM001,14,1,0,0,0,0
9,1962,LOCKJWA001,14,1,0,0,0,0
9,1961,LEBAEDD001,14,236,120,1741,14,16
9,1961,MEREDON001,8,182,94,1161,9,11
9,1961,HUMPBUD001,2,2,1,16,0,0
9,1961,LOCKJWA001,12,2,0,0,0,0
9,1960,LEBAEDD001,11,225,111,1736,12,25
9,1960,MEREDON001,6,68,29,281,2,5
9,1960,HEINDON001,12,61,23,371,3,3
10,2018,KEENCAS001,16,586,365,3890,18,15
10,2018,SANDEMM001,12,1,1,28,1,0
10,2018,WADMCOL001,12,1,1,12,0,0
10,2017,SIEMTRE001,11,349,206,2285,12,14
10,2017,OSWEBRO001,6,172,96,1088,5,5
10,2017,LYNCPAX001,2,45,30,295,2,3
10,2016,SIEMTRE001,14,486,289,3401,18,10
10,2016,LYNCPAX001,3,83,49,497,2,1
10,2016,DIXORIL001,16,1,1,16,0,0
10,2015,MANNPEY001,10,331,198,2249,9,17
10,2015,OSWEBRO001,8,275,170,1967,10,6
10,2014,MANNPEY001,16,597,395,4727,39,15
10,2014,OSWEBRO001,4,10,4,52,1,0
10,2013,MANNPEY001,16,659,450,5477,55,10
10,2013,OSWEBRO001,4,16,11,95,0,0
10,2012,MANNPEY001,16,583,400,4659,37,11
10,2012,OSWEBRO001,5,4,2,12,0,0
10,2012,PRATMAT001,16,1,0,0,0,0
10,2011,TEBOTIM001,14,271,126,1729,12,6
10,2011,ORTOKYL001,5,155,91,979,8,7
10,2011,COLQBRI001,16,1,0,0,0,0
10,2011,DECKERI001,16,1,0,0,0,0
10,2011,THOMDEM001,11,1,0,0,0,0
10,2010,ORTOKYL001,13,498,293,3653,20,9
10,2010,TEBOTIM001,9,82,41,654,5,3
10,2009,ORTOKYL001,16,541,336,3802,21,12
10,2009,SIMMCHR001,3,17,5,23,0,1
10,2008,CUTLJAY001,16,616,384,4526,25,18
10,2008,RAMSPAT001,1,3,2,19,0,0
10,2008,ROYAEDD001,15,1,0,0,0,0
10,2007,CUTLJAY001,16,467,297,3497,20,14
10,2007,RAMSPAT001,2,48,29,262,1,1
10,2007,MARSBRA001,16,0,0,0,0,0
10,2006,PLUMJAK001,16,317,175,1994,11,13
10,2006,CUTLJAY001,5,137,81,1001,9,5
10,2005,PLUMJAK001,16,456,277,3366,18,7
10,2005,VANPBRA002,3,8,2,7,0,0
10,2005,SMITROD002,16,1,0,0,0,0
10,2004,PLUMJAK001,16,521,303,4089,27,20
10,2003,PLUMJAK001,11,302,189,2182,15,7
10,2003,KANEDAN001,5,103,53,442,2,5
10,2003,BEUESTE001,4,63,33,389,2,5
10,2003,JACKJAR001,1,9,4,41,0,1
10,2003,SMITROD002,15,1,1,72,0,0
10,2003,KNORMIC001,16,1,0,0,0,0
10,2002,GRIEBRI001,13,436,291,3214,15,15
10,2002,BEUESTE001,8,117,68,925,6,5
10,2002,SMITROD002,16,1,0,0,0,0
10,2001,GRIEBRI001,15,451,275,2827,23,19
10,2001,FRERGUS001,4,48,30,308,3,0
10,2001,JACKJAR001,1,12,7,73,0,0
10,2000,GRIEBRI001,10,336,216,2688,19,4
10,2000,FRERGUS001,10,232,138,1776,9,8
10,2000,JACKJAR001,2,1,0,0,0,0
10,1999,GRIEBRI001,14,452,261,3032,14,14
10,1999,MILLCHR001,3,81,46,527,2,1
10,1999,BRISBUB001,2,20,12,87,0,3
10,1999,SMITROD002,15,1,0,0,0,0
10,1998,ELWAJOH001,13,356,210,2806,22,10
10,1998,BRISBUB001,7,131,78,986,10,3
10,1998,GRIEBRI001,1,3,1,2,0,1
10,1998,SMITROD002,16,1,1,14,0,0
10,1997,ELWAJOH001,16,502,280,3635,27,11
10,1997,BRISBUB001,1,9,6,48,0,0
10,1997,LEWIJEF001,3,2,1,21,0,0
10,1996,ELWAJOH001,15,466,287,3328,26,14
10,1996,MUSGBIL001,6,52,31,276,0,2
10,1996,LEWIJEF001,2,17,9,58,0,1
10,1996,CRAVAAR001,15,1,0,0,0,0
10,1995,ELWAJOH001,16,542,316,3970,26,14
10,1995,MILLHUG001,3,40,26,197,1,0
10,1995,MUSGBIL001,4,12,8,93,0,0
10,1994,ELWAJOH001,14,494,307,3490,16,10
10,1994,MILLHUG001,5,131,81,893,2,3
10,1994,RIVEREG001,16,1,0,0,0,0
10,1993,ELWAJOH001,16,551,348,4030,25,10
10,1993,MARSART001,16,1,1,30,1,0
10,1993,MADDTOM001,16,1,1,1,1,0
10,1992,ELWAJOH001,12,316,174,2242,10,17
10,1992,MADDTOM001,13,121,66,757,5,9
10,1992,MOORSHA001,3,34,17,232,0,3
10,1992,MARSART001,16,1,1,81,1,0
10,1992,LEWIGRE001,16,1,0,0,0,0
10,1991,ELWAJOH001,16,451,242,3253,13,12
10,1991,KUBIGAR001,16,5,3,33,0,0
10,1991,SEWESTE001,16,3,1,24,0,0
10,1990,ELWAJOH001,16,502,294,3526,15,14
10,1990,KUBIGAR001,16,22,11,145,0,4
10,1990,HUMPBOB002,15,2,0,0,0,0
10,1990,SEWESTE001,12,1,0,0,0,0
10,1989,ELWAJOH001,15,416,223,3051,18,18
10,1989,KUBIGAR001,16,55,32,284,2,2
10,1989,HUMPBOB002,16,2,1,17,1,0
10,1989,JOHNVAN001,16,1,0,0,0,0
10,1988,ELWAJOH001,15,496,274,3309,17,19
10,1988,KUBIGAR001,16,69,43,497,5,3
10,1988,KARCKEN001,1,12,6,128,1,0
10,1988,DORSTON001,16,2,1,7,1,0
10,1988,NATTRIC001,15,1,0,0,0,0
10,1988,SEWESTE001,16,1,0,0,0,0
10,1987,ELWAJOH001,12,410,224,3198,19,12
10,1987,KARCKEN001,3,102,56,628,5,4
10,1987,KUBIGAR001,12,7,3,25,0,2
10,1987,MAYADEA001,3,5,0,0,0,1
10,1987,MCGUMON001,2,3,2,23,0,0
10,1987,JOHNVAN001,11,1,0,0,0,0
10,1987,LANGGEN001,12,1,0,0,0,0
10,1987,WILLGER001,3,1,0,0,0,0
10,1987,SEWESTE001,7,0,0,0,0,0
10,1986,ELWAJOH001,16,504,280,3485,19,13
10,1986,KUBIGAR001,16,38,23,249,1,3
10,1986,WILLGER001,16,4,1,11,0,0
10,1986,NORMCHR001,6,1,1,43,1,0
10,1986,SEWESTE001,11,1,1,23,1,0
10,1986,JOHNVAN001,12,1,0,0,0,0
10,1985,ELWAJOH001,16,605,327,3891,22,23
10,1985,KUBIGAR001,16,5,2,61,1,0
10,1985,WILLGER001,15,3,0,0,0,0
10,1985,JOHNVAN001,16,1,0,0,0,0
10,1985,NORMCHR001,16,1,0,0,0,0
10,1985,SEWESTE001,16,1,0,0,0,0
10,1985,WINDSAM001,14,1,0,0,0,0
10,1984,ELWAJOH001,15,380,214,2598,18,15
10,1984,KUBIGAR001,7,75,44,440,4,1
10,1984,STANSCO001,1,18,4,58,0,1
10,1984,WILLGER001,16,2,1,20,0,0
10,1983,ELWAJOH001,11,259,123,1663,7,14
10,1983,DEBESTE001,10,215,119,1617,9,7
10,1983,KUBIGAR001,4,22,12,186,1,1
10,1983,UPCHRIC001,12,2,0,0,0,0
10,1983,WILLGER001,8,1,0,0,0,0
10,1982,DEBESTE001,9,223,131,1405,7,11
10,1982,HERRMAR001,2,60,32,421,1,4
10,1982,MORTCRA001,3,26,18,193,0,3
10,1982,WILLGER001,9,2,0,0,0,1
10,1982,UPCHRIC001,9,0,0,0,0,0
10,1981,MORTCRA001,15,376,225,3195,21,14
10,1981,DEBESTE001,14,108,64,797,6,6
10,1981,REEDTON001,15,1,0,0,0,1
10,1980,MORTCRA001,12,301,183,2150,12,13
10,1980,ROBIMAT001,14,162,78,942,2,12
10,1980,KNAPJEF001,2,4,1,15,0,0
10,1980,MCCULAW001,6,0,0,0,0,0
10,1979,MORTCRA001,14,370,204,2626,16,19
10,1979,WEESNOR001,16,97,53,731,1,3
10,1979,PENRCRA001,2,5,2,44,0,1
10,1979,KEYWJON001,16,1,1,32,1,0
10,1979,PRESDAV001,10,1,0,0,0,0
10,1979,PRESLUK001,16,1,0,0,0,0
10,1979,UPCHRIC001,16,1,0,0,0,0
10,1978,MORTCRA001,14,267,146,1802,11,8
10,1978,WEESNOR001,13,87,55,723,4,5
10,1978,PENRCRA001,4,37,16,185,2,4
10,1977,MORTCRA001,14,254,131,1929,14,8
10,1977,PENRCRA001,8,39,21,217,0,4
10,1977,WEESNOR001,14,20,11,119,1,0
10,1976,RAMSSTE001,12,270,128,1931,11,13
10,1976,WEESNOR001,14,47,24,314,1,6
10,1976,PENRCRA001,4,36,16,265,3,3
10,1975,RAMSSTE001,11,233,128,1562,9,14
10,1975,JOHNCHA007,14,142,65,1021,5,12
10,1975,HUFNJOH001,5,51,16,287,1,8
10,1975,VANHBIL001,14,1,1,30,0,0
10,1975,UPCHRIC001,14,0,0,0,0,0
10,1974,JOHNCHA007,14,244,136,1969,13,9
10,1974,RAMSSTE001,7,74,41,580,5,7
10,1974,HUFNJOH001,4,10,6,70,0,1
10,1974,VANHBIL001,14,1,1,41,0,0
10,1973,JOHNCHA007,14,346,184,2465,20,17
10,1973,RAMSSTE001,5,27,10,194,2,2
10,1973,ANDEBOB002,12,3,2,47,0,0
10,1973,TURNJIM003,14,1,0,0,0,1
10,1973,VANHBIL001,14,1,0,0,0,0
10,1972,JOHNCHA007,12,238,132,1783,14,14
10,1972,RAMSSTE001,9,137,65,1050,3,9
10,1972,ERNSMIK001,1,4,1,10,0,0
10,1972,ANDEBOB002,9,3,1,14,1,0
10,1972,LITTFLO001,14,2,2,43,1,0
10,1971,RAMSSTE001,9,178,84,1120,5,13
10,1971,HORNDON001,9,173,89,1056,3,14
10,1971,ANDEBOB002,13,3,1,48,0,0
10,1971,GEHRJAC001,14,2,1,19,0,0
10,1971,LITTFLO001,14,1,0,0,0,0
10,1971,VANHBIL001,14,1,0,0,0,0
10,1970,LISKPET001,11,238,112,1340,7,11
10,1970,TENSSTE001,7,80,38,539,3,8
10,1970,PASTALA001,5,75,29,420,1,9
10,1970,ANDEBOB002,14,7,4,59,0,0
10,1970,LITTFLO001,14,2,0,0,0,0
10,1970,VANHBIL001,14,1,0,0,0,0
10,1969,TENSSTE001,13,286,131,1990,14,12
10,1969,LISKPET001,7,115,61,845,9,11
10,1969,LITTFLO001,9,2,0,0,0,0
10,1968,BRISMAR001,11,224,93,1589,14,13
10,1968,TENSSTE001,7,119,48,709,5,8
10,1968,LECLJIM001,3,54,27,401,1,5
10,1968,MCCOJOH001,1,19,8,89,0,1
10,1968,DIVIJOE001,3,6,1,16,0,0
10,1968,LYNCFRA001,9,2,1,4,0,0
10,1968,LITTFLO001,11,2,0,0,0,0
10,1968,HAFFMIK001,14,1,1,18,0,0
10,1967,TENSSTE001,14,325,131,1915,16,17
10,1967,LECLJIM001,5,45,19,275,1,1
10,1967,GLACSCO001,2,4,0,0,0,0
10,1966,MCCOJOH001,14,193,68,993,6,15
10,1966,CHOBMAX001,14,163,82,1110,4,12
10,1966,SLAUMIC001,3,25,7,124,1,0
10,1966,GLACSCO001,8,11,6,84,1,0
10,1966,ROTETOB001,3,8,3,40,0,1
10,1966,HAYNABN001,14,2,0,0,0,2
10,1965,MCCOJOH001,14,253,103,1292,7,14
10,1965,SLAUMIC001,10,147,75,864,6,12
10,1965,LEEAJAC002,4,80,44,692,5,3
10,1965,HAYEWEN001,14,1,0,0,0,1
10,1965,HAYNABN001,14,1,0,0,0,0
10,1964,LEEAJAC002,14,265,133,1611,11,20
10,1964,SLAUMIC001,14,189,97,930,3,11
10,1964,MITCCHA002,14,1,0,0,0,0
10,1964,TAYLLIO001,14,1,0,0,0,1
10,1963,SLAUMIC001,13,223,112,1689,12,15
10,1963,BREADON001,9,138,70,935,7,6
10,1963,MCCOJOH001,9,72,28,417,4,3
10,1963,TRIPFRA001,2,15,7,31,0,5
10,1963,STONDON001,14,3,0,0,0,0
10,1963,MINGGEN001,14,1,0,0,0,0
10,1963,TAYLLIO001,14,1,0,0,0,0
10,1962,TRIPFRA001,14,440,240,2917,17,25
10,1962,SHAWGEO001,13,110,49,783,4,14
10,1962,STONDON001,11,3,1,13,0,0
10,1962,MINGGEN001,14,2,1,18,0,1
10,1962,ENISHUN001,4,2,1,8,0,0
10,1962,TAYLLIO001,14,2,0,0,0,0
10,1961,TRIPFRA001,14,344,167,1690,10,21
10,1961,HERRGEO001,14,211,93,1160,5,22
10,1961,MINGGEN001,10,8,4,136,2,0
10,1961,STONDON001,14,2,1,18,1,0
10,1961,TAYLLIO001,14,2,0,0,0,1
10,1961,FRAZALA001,14,1,0,0,0,1
10,1960,TRIPFRA001,14,478,248,3038,24,34
10,1960,HERRGEO001,14,22,9,137,0,1
10,1960,MINGGEN001,14,7,1,46,0,0
10,1960,CARMALA001,10,1,1,26,0,0
11,2018,STAFMAT001,16,555,367,3777,21,11
11,2018,CASSMAT001,2,17,7,59,0,1
11,2018,PRATMAT001,16,1,1,8,1,0
11,2018,ELLIBRU001,4,1,0,0,0,0
11,2017,STAFMAT001,16,565,371,4446,29,10
11,2017,RUDOJAK001,3,5,3,24,0,1
11,2016,STAFMAT001,16,594,388,4327,24,10
11,2015,STAFMAT001,16,592,398,4262,32,13
