fid,season,playerid,g,patt,pcmp,pyds,ptd,pint
1,1985,LOMANEI001,16,471,265,3214,18,12
1,1985,BRUNSCO001,16,60,30,336,1,6
1,1985,MITCSTU001,16,2,1,31,0,0
1,1985,BIRDCAR001,16,1,0,0,0,0
1,1984,LOMANEI001,16,560,345,4614,28,16
1,1984,MCIVRIC001,4,4,0,0,0,0
1,1984,MITCSTU001,16,1,1,20,0,0
1,1984,PERRBEN001,16,1,1,0,0,0
1,1983,LOMANEI001,13,354,209,2636,24,11
1,1983,HARTJIM002,5,91,50,592,4,8
1,1983,LISCRUS001,4,13,6,66,1,2
1,1983,BIRDCAR001,16,1,1,11,0,0
1,1983,PERRBEN001,16,1,1,4,0,0
1,1982,LOMANEI001,9,205,109,1367,5,6
1,1982,HARTJIM002,4,33,19,199,1,0
1,1982,HARRWIL002,7,1,1,10,0,0
1,1982,GREEROY001,9,1,0,0,0,0
1,1981,HARTJIM002,10,241,134,1694,11,14
1,1981,LOMANEI001,14,236,119,1575,4,10
1,1980,HARTJIM002,15,425,228,2946,16,20
1,1980,LOYDMIK001,5,28,5,49,0,1
1,1980,LISCRUS001,2,17,6,68,0,3
1,1980,WEHRROG001,16,0,0,0,0,0
1,1979,HARTJIM002,14,378,194,2218,9,20
1,1979,PISASTE001,6,109,52,621,3,4
1,1979,LITTSTE001,16,3,2,31,0,0
1,1979,ANDEOTT001,16,1,0,0,0,0
1,1979,HARRWIL002,14,1,0,0,0,0
1,1978,HARTJIM002,15,477,240,3121,16,18
1,1978,PISASTE001,3,29,10,164,0,3
1,1978,STIEDAV001,15,1,1,43,0,0
1,1978,WOODMIK001,8,1,1,29,0,0
1,1977,HARTJIM002,14,355,186,2542,13,20
1,1977,DONCBIL001,5,5,5,38,0,0
1,1977,METCTER002,14,5,3,27,1,1
1,1977,JOYCTER001,4,1,1,1,0,0
1,1976,HARTJIM002,14,388,218,2946,18,13
1,1976,DONCBIL001,1,1,1,16,0,0
1,1976,WYCHSAM001,1,1,1,5,0,0
1,1976,METCTER002,12,1,0,0,0,0
1,1976,WEHRROG001,14,1,0,0,0,0
1,1975,HARTJIM002,14,345,182,2507,19,19
1,1975,SHAWDEN001,3,8,4,61,0,1
1,1975,METCTER002,13,2,1,51,1,0
1,1975,BAKKJIM001,14,0,0,0,0,0
1,1974,HARTJIM002,14,388,200,2411,20,8
1,1974,METCTER002,14,2,0,0,0,0
1,1974,HAMMGAR001,12,1,1,81,0,0
1,1973,HARTJIM002,12,320,178,2223,15,10
1,1973,KEITGAR001,14,73,32,369,1,5
1,1973,HAMMGAR001,9,1,0,0,0,0
1,1972,CUOZGAR001,8,158,69,897,5,11
1,1972,HARTJIM002,6,119,60,857,5,5
1,1972,VANGTIM001,5,79,40,434,1,7
1,1972,ANDEDON002,14,3,2,71,0,0
1,1972,SMITJAC003,14,2,0,0,0,0
1,1972,WILSLAR001,12,2,0,0,0,0
1,1971,HARTJIM002,11,243,110,1626,8,14
1,1971,BEATPET001,9,141,60,1030,6,12
1,1971,SHIVROY001,11,1,0,0,0,0
1,1970,HARTJIM002,14,373,171,2575,14,18
1,1970,BEATPET001,4,17,7,114,2,1
1,1969,JOHNCHA007,12,260,131,1847,13,13
1,1969,HARTJIM002,9,169,84,1086,6,12
1,1969,HILLKIN001,14,1,1,7,0,0
1,1968,HARTJIM002,13,316,140,2059,15,18
1,1968,JOHNCHA007,7,67,29,330,1,1
1,1968,LATOCHU001,14,1,0,0,0,0
1,1968,ROLAJOH001,14,1,0,0,0,1
1,1967,HARTJIM002,14,397,192,3008,19,30
1,1967,JOHNCHA007,5,29,12,162,1,3
1,1967,ROLAJOH001,13,4,0,0,0,1
1,1967,SMITJAC003,14,1,0,0,0,1
1,1966,JOHNCHA007,9,205,103,1334,10,11
1,1966,NOFSTER001,7,162,68,799,2,8
1,1966,HARTJIM002,1,11,4,29,0,0
1,1966,ROLAJOH001,14,8,5,130,1,0
1,1965,JOHNCHA007,11,322,155,2439,18,15
1,1965,HUMPBUD001,7,105,58,736,1,9
1,1965,NOFSTER001,1,20,8,47,1,1
1,1965,GAUTPRE001,7,1,0,0,0,0
1,1964,JOHNCHA007,14,420,223,3045,21,24
1,1964,CROWJOH001,13,1,0,0,0,0
1,1964,HUMPBUD001,1,1,0,0,0,0
1,1963,JOHNCHA007,14,423,222,3280,28,21
1,1963,HUMPBUD001,4,11,4,96,1,0
1,1963,CROWJOH001,3,3,2,27,1,0
1,1963,GAUTPRE001,1,1,0,0,0,0
1,1962,JOHNCHA007,11,308,150,2440,16,20
1,1962,ETCHSAM001,14,106,58,707,2,10
1,1962,CROWJOH001,14,20,12,241,0,0
1,1961,ETCHSAM001,14,196,96,1275,14,11
1,1961,GUGLRAL001,9,116,56,927,5,8
1,1961,CROWJOH001,8,14,4,76,1,1
1,1961,JOHNCHA007,4,13,5,51,0,2
1,1961,GAUTPRE001,14,11,6,100,1,1
1,1961,CONRBOB001,14,1,1,5,0,0
1,1960,ROACJOH001,12,188,87,1423,17,19
1,1960,HILLKIN001,12,55,20,205,1,5
1,1960,IZOAGEO001,2,24,10,115,0,0
1,1960,CROWJOH001,12,18,9,247,2,1
1,1959,HILLKIN001,11,181,82,1015,7,13
1,1959,ROACJOH001,12,57,22,340,2,4
1,1959,REYNMCA001,7,39,19,329,4,1
1,1959,CONRBOB001,12,3,2,82,1,1
1,1958,MCHALAM001,12,198,91,1291,12,13
1,1958,REYNMCA001,11,195,105,1422,11,11
1,1958,HILLKIN001,7,9,1,18,0,2
1,1958,MATSOLL001,12,2,1,4,0,0
1,1958,CHILJOE001,10,1,0,0,0,0
1,1958,CROWJOH001,7,1,0,0,0,1
1,1958,SEARJIM001,12,1,0,0,0,0
1,1957,MCHALAM001,12,200,87,1568,11,15
1,1957,MARCTED001,7,45,15,238,1,5
1,1957,LARSPAU001,5,14,6,61,0,1
1,1957,MATSOLL001,12,5,2,59,0,0
1,1957,SEARJIM001,12,3,0,0,0,0
1,1957,CHILJOE001,12,2,1,43,0,1
1,1957,BERNFRA001,12,1,0,0,0,0
1,1957,MANNDAV001,12,1,0,0,0,0
1,1956,MCHALAM001,12,152,72,1159,10,8
1,1956,ROOTJIM001,9,57,28,333,3,5
1,1956,MATSOLL001,12,3,0,0,0,0
1,1956,MANNDAV001,12,2,0,0,0,1
1,1955,MCHALAM001,12,207,78,1085,11,19
1,1955,COMPOGD001,9,61,22,339,1,6
1,1955,MANNDAV001,12,10,5,53,2,0
1,1955,MATSOLL001,12,1,1,43,0,0
1,1955,LEGGDAV001,4,1,0,0,0,0
1,1954,MCHALAM001,12,255,105,1475,6,22
1,1954,ROMASTE001,8,79,36,343,2,5
1,1954,TRIPCHA001,12,13,7,85,0,3
1,1954,MATSOLL001,10,2,0,0,0,0
1,1953,ROOTJIM001,11,192,80,1149,8,11
1,1953,ROMASTE001,6,117,50,641,4,9
1,1953,NAGERAY001,4,62,30,192,0,5
1,1953,TRIPCHA001,12,34,20,195,2,1
1,1953,PAULDON002,12,2,1,13,0,0
1,1953,OLSZJOH001,12,1,0,0,0,1
1,1952,TRIPCHA001,11,181,84,890,5,13
1,1952,PANCDON001,10,96,35,582,5,9
1,1952,TRIPFRA001,6,12,5,40,0,0
1,1951,TRIPCHA001,12,191,88,1191,8,13
1,1951,HARDJIM001,7,114,56,809,3,10
1,1951,TRIPFRA001,3,29,17,244,2,1
1,1950,HARDJIM001,11,257,117,1636,17,24
1,1950,TRIPFRA001,10,108,47,720,4,7
1,1950,TRIPCHA001,12,3,1,19,0,0
1,1949,CHRIPAU001,12,151,75,1015,11,13
1,1949,HARDJIM001,12,150,63,748,10,13
1,1949,SCHWVIC001,11,2,0,0,0,0
1,1949,TRIPCHA001,12,2,0,0,0,0
1,1949,ANGSELM001,12,1,0,0,0,0
1,1949,COCHRED001,12,1,0,0,0,0
1,1948,MALLRAY001,12,143,73,1160,13,6
1,1948,CHRIPAU001,7,114,51,740,5,4
1,1948,EIKECHA001,9,19,6,116,3,2
1,1948,TRIPCHA001,12,8,4,118,1,0
1,1948,SCHWVIC001,7,1,0,0,0,0
1,1947,CHRIPAU001,12,301,138,2191,17,22
1,1947,MALLRAY001,11,36,21,340,1,2
1,1947,TRIPCHA001,11,2,1,49,0,1
1,1947,COCHRED001,12,1,0,0,0,0
1,1946,CHRIPAU001,11,229,100,1656,13,18
1,1946,MALLRAY001,5,34,14,260,4,2
1,1946,STRAJIM001,11,1,1,35,0,0
1,1946,ANGSELM001,11,1,0,0,0,0
1,1946,SENOFRA001,11,1,0,0,0,0
1,1945,CHRIPAU001,8,219,89,1147,5,12
1,1945,CANTLEO001,10,18,3,116,0,4
1,1945,COLLPAU002,3,17,3,43,0,2
1,1945,OLIVVIN001,3,10,4,22,0,0
1,1945,KNOLJOH001,7,1,0,0,0,0
1,1945,MAEDCHE001,1,1,0,0,0,0
1,1945,SENOFRA001,9,1,0,0,0,0
1,1944,GRIGJOH001,9,131,50,690,6,21
1,1944,MCCAJOH002,7,67,20,250,0,13
1,1944,BOVATON001,9,30,6,96,0,1
1,1944,MCDOCOL001,2,23,10,208,2,4
1,1944,MASTWAL001,3,7,1,13,0,2
1,1943,CAHIRON001,10,109,50,608,3,21
1,1943,MASTWAL001,7,45,17,249,2,7
1,1943,BUKAJOE001,8,40,14,109,1,5
1,1943,GRIGJOH001,10,19,4,98,0,4
1,1943,HALLJOH003,8,4,2,24,0,2
1,1943,PURDCAL001,4,2,1,7,0,0
1,1942,SCHWBUD001,11,295,126,1360,6,27
1,1942,BUKAJOE001,10,15,4,56,0,2
1,1942,KNOLJOH001,11,6,1,16,0,0
1,1941,CLEMJOH001,9,100,48,690,3,7
1,1941,MALLRAY001,9,96,48,725,2,4
1,1941,MCCUHUG001,7,32,12,133,0,5
1,1941,GOLDMAR001,11,19,7,110,1,2
1,1941,BALAFRA001,9,4,0,0,0,2
1,1941,HALLJOH003,11,1,0,0,0,0
1,1940,MCCUHUG001,11,116,43,529,4,21
1,1940,CLARBER002,9,58,25,316,2,6
1,1940,KELLBOB002,3,18,6,42,0,4
1,1940,HALLJOH003,11,3,0,0,0,2
1,1940,GOLDMAR001,11,2,0,0,0,0
1,1940,JOHNBER001,10,1,1,25,0,0
1,1939,ROBBJAC001,8,85,36,499,4,10
1,1939,PATRFRA001,8,79,22,291,1,13
1,1939,JOHNBER001,9,40,14,208,0,5
1,1939,MCDOCOL001,4,9,2,73,0,2
1,1939,CROWEAR001,6,7,2,6,0,0
1,1939,GOLDMAR001,10,7,1,4,0,1
1,1939,POPOMIL001,10,6,5,52,0,0
1,1939,FAUSGEO001,9,5,0,0,0,1
1,1939,WHEEERN001,2,4,2,35,0,1
1,1939,AGEESAM001,11,3,0,0,0,0
1,1939,REEDROC001,4,1,1,2,0,0
1,1939,PARKBUD001,9,1,0,0,0,0
1,1938,ROBBJAC001,9,97,52,577,2,9
1,1938,SLOADWI001,10,79,37,333,1,7
1,1938,COFFPAT001,10,39,16,200,0,4
1,1938,LAWRJIM001,11,11,3,65,0,4
1,1938,RUSSDOU001,8,7,1,98,1,2
1,1938,AGEESAM001,10,2,2,27,0,0
1,1938,PARKBUD001,10,2,2,21,0,0
1,1938,BURNRAY001,1,2,1,19,0,0
1,1938,PATRFRA001,7,1,0,0,0,0
1,1937,COFFPAT001,9,119,52,824,4,11
1,1937,GROSGEO002,11,50,21,325,3,7
